bin	bin_all_R1_A_D1_MG_per	bin_all_R1_B_D1_MG_per	bin_all_R2_A_D1_MG_per	bin_all_R2_B_D1_MG_per	bin_all_R2_C_D1_MG_per	bin_all_R1_A_D2_MG_per	bin_all_R1_B_D2_MG_per	bin_all_R1_C_D2_MG_per	bin_all_R2_B_D2_MG_per	bin_all_R1_A_H2O_MG_per	bin_all_R1_B_H2O_MG_per	bin_all_R2_B_H2O_MG_per	bin_all_R2_C_H2O_MG_per	bin_all_R2_restored_C_black_MG_per	bin_all_R2_restored_D_shore_MG_per	bin_all_R2_restored_H2O_MG_per	bin_all_R2A_A_D1_MG_per	bin_all_R2A_B_D1_MG_per	bin_all_R2A_C_D1_MG_per	bin_all_R2A_A_D2_MG_per	bin_all_R2A_B_D2_MG_per	bin_all_R2A_C_D2_MG_per	bin_all_R2A_A_H2O_MG_per	bin_all_R2A_B_H2O_MG_per	bin_all_R2A_C_H2O_MG_per	bin_all_SF2_B_D1_MG_per	bin_all_SF2_C_D1_MG_per	bin_all_SF2_A_D2_MG_per	bin_all_SF2_B_D2_MG_per	bin_all_SF2_C_D2_MG_per	bin_all_SF2_A_H2O_MG_per	bin_all_SF2_B_H2O_MG_per	bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40.contigs	0.004911447	0.020479482	0.000359382	0.006681703	0.025449437	0.004670546	0.005299679	0.00421379	0.00097028	6.84974E-05	0.000115376	5.91134E-07	0	0.001137491	3.99612E-06	0	1.24768E-05	1.85553E-05	0	0	0	0	2.14285E-05	1.52737E-05	3.32721E-06	0	5.14028E-06	0	0	1.58163E-06	1.28601E-05	7.81959E-06	4.88181E-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.10.contigs	0.025295603	0.008133722	0.009614499	0.017719758	0.009041989	0.020999995	0.011007985	0.016175058	0.00654786	4.33607E-05	5.1679E-05	0	4.31251E-07	0.02019638	3.3967E-05	8.22185E-07	0	1.85553E-05	0	0	0	0	1.07142E-06	6.1095E-06	0	0	0	0	7.36841E-06	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13.contigs	0.024348465	0.011523726	0.000743663	0.00506892	0.005651341	0.02284323	0.019104841	0.011308907	0.001117021	1.31967E-05	1.05161E-05	1.18227E-06	0	0.001901798	4.99514E-06	1.37031E-06	0	1.85553E-05	0	0	0	0	0	0	0	0	5.14028E-06	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16.contigs	0.002218358	0.01023048	0.002074122	0.024322969	0.007040489	0.000598593	0.000852863	0.007399498	0.016031956	6.347E-05	6.2796E-05	0	0	0.004797555	5.99417E-06	4.93311E-06	0.000307761	0.000241219	1.91512E-05	0.000111472	3.92846E-05	1.51769E-05	2.67856E-06	3.81843E-06	6.65443E-06	8.65233E-05	7.71042E-05	0.000143541	6.63157E-05	2.84693E-05	2.14336E-05	7.81959E-06	9.76362E-06
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.16.contigs	0.004349767	0.008637619	0.012318577	0.009974723	0.006060098	0.004944099	0.006854062	0.013949263	0.024307318	2.51366E-05	3.45528E-05	0	8.62501E-07	0.001184139	1.29874E-05	0	0.000103973	0.000371106	9.57561E-06	8.57478E-05	9.82116E-06	0	8.03567E-06	1.37464E-05	3.65994E-05	4.68668E-05	5.14028E-05	2.48436E-05	3.31578E-05	1.58163E-06	3.85804E-05	2.60653E-06	4.88181E-06
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19.contigs	1.3949E-06	2.72377E-06	9.29579E-05	8.58515E-06	1.01798E-05	8.95427E-07	3.11589E-06	1.58532E-06	3.52743E-05	0.02405326	0.009595471	0	0	2.15298E-06	6.9932E-06	0.001067471	0.000499073	0.000371106	3.83024E-05	0.000248669	0.000157139	2.12477E-05	7.01782E-05	7.5605E-05	7.09806E-05	1.44205E-05	3.08417E-05	4.1406E-05	1.8421E-05	1.10714E-05	0.000321503	0.000239801	0.000209918
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.30.contigs	0.02010843	0.007414102	0.011007207	0.016980209	0.010315244	0.023979975	0.016499069	0.019959225	0.007308845	5.46722E-05	3.81583E-05	0	0	0.028443726	6.39379E-05	0	4.15894E-06	1.85553E-05	0	8.57478E-06	0	0	9.10709E-06	1.37464E-05	3.32721E-06	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20.contigs	0.008776253	0.022326742	0.002846005	0.011186456	0.01414049	0.007068051	0.01781976	0.014261572	0.008003985	1.63388E-05	2.43372E-05	0	4.31251E-07	0.020316947	2.59748E-05	0	0.000166358	0.000185553	1.59593E-05	0.000111472	1.96423E-05	7.58846E-06	5.35711E-07	1.52737E-06	1.21998E-05	1.08154E-05	0	2.7604E-06	3.6842E-06	1.58163E-06	1.28601E-05	0	0
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.45.contigs	0.005076045	0.010756712	0.015779597	0.010000478	0.007562007	0.006328876	0.009482091	0.012952887	0.021666915	3.33061E-05	3.21492E-05	5.91134E-07	4.31251E-07	0.002961782	2.19786E-05	0	6.6543E-05	0.000166998	9.57561E-06	3.42991E-05	1.96423E-05	0	5.35711E-07	3.05475E-06	4.43629E-06	7.21027E-06	0	0	0	1.58163E-06	8.57342E-06	2.60653E-06	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.10.contigs	0.003228266	0.002636065	0.004539996	0.006379996	0.001223922	0.002150367	0.008024745	0.018117872	0.021150028	6.28416E-06	4.50689E-06	0	8.62501E-07	0.004135873	7.99223E-06	0	6.6543E-05	5.56659E-05	3.19187E-06	2.57244E-05	3.92846E-05	1.51769E-06	1.82142E-05	1.06916E-05	1.10907E-05	1.44205E-05	5.14028E-06	5.52081E-06	3.6842E-06	3.16326E-06	8.57342E-06	7.81959E-06	4.88181E-06
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38.contigs	0.000111127	0.005381625	0.01044282	0.009863116	0.020763608	0.00012133	0.002577284	0.000944853	0.005177334	3.45629E-05	3.75574E-05	5.91134E-07	0	0.000504515	5.99417E-06	0	4.15894E-06	1.85553E-05	3.19187E-06	0	0	0	5.35711E-07	0	0	3.60514E-06	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89.contigs	3.20827E-05	0.020750224	7.13784E-05	0.003620482	0.01845045	0.000184906	0.000117068	1.66459E-05	9.40649E-06	2.57651E-05	3.63556E-05	5.91134E-07	4.31251E-07	0.002409901	8.99126E-06	3.28874E-06	0	0	0	0	0	0	6.96425E-06	3.05475E-06	2.21814E-06	0	5.14028E-06	0	0	3.16326E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.22.contigs	0.01990152	0.015766815	0.005312708	0.014611933	0.018213183	0.014411893	0.0186793	0.019065896	0.010072472	6.15848E-05	6.33969E-05	1.18227E-06	4.31251E-07	0.006151779	3.69641E-05	0	0	3.71106E-05	6.38374E-06	0	0	0	5.35711E-07	0	0	0	0	0	0	0	0	2.60653E-06	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.98.contigs	0.018582408	0.010342155	0.009177099	0.001707219	0.001474501	0.017691841	0.012600204	0.007327366	0.019373142	4.96449E-05	2.70413E-05	0	0	0.001036301	3.99612E-06	0	0	1.85553E-05	0	0	0	0	0	7.63687E-07	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.7.contigs	2.09235E-05	0.003450472	0.002106492	0.018929039	0.018733918	2.59674E-05	0.000204758	0.000818027	0.001894938	8.98635E-05	0.000142117	2.48276E-05	8.19376E-06	0.02702563	3.69641E-05	0	8.73377E-05	0.000278329	3.19187E-05	6.00235E-05	9.82116E-05	2.12477E-05	1.60713E-06	5.34581E-06	2.32905E-05	4.32616E-05	3.08417E-05	2.48436E-05	5.89473E-05	9.48978E-06	7.71608E-05	2.34588E-05	1.95272E-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.39.contigs	0.001052685	0.003175916	0.01652741	0.002362144	0.001386799	0.001397761	0.009457163	0.006174836	0.018752313	2.51366E-06	1.80276E-06	5.91134E-07	4.31251E-07	0.000526762	4.99514E-06	0	8.31788E-06	5.56659E-05	3.19187E-06	0	0	0	0	0	0	3.60514E-06	0	0	1.10526E-05	1.58163E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.49.contigs	0.006810837	0.014534037	0.016754824	0.002730079	0.003084472	0.011764116	0.018272009	0.010642278	0.016625976	1.38252E-05	1.62248E-05	5.91134E-07	8.62501E-07	0.004432267	1.79825E-05	0	4.15894E-05	5.56659E-05	6.38374E-06	8.57478E-06	9.82116E-06	0	5.89282E-06	3.05475E-06	4.43629E-06	1.44205E-05	5.14028E-06	2.7604E-06	3.6842E-06	1.58163E-06	0	0	0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028.contigs	8.83437E-06	5.99229E-06	3.31992E-06	8.58515E-06	5.48142E-06	5.37256E-06	5.34152E-06	9.51194E-06	5.6439E-06	0.014605022	0.018245095	5.91134E-05	1.98375E-05	5.02362E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.38.contigs	0.006176622	0.013704921	0.014813499	0.014884205	0.015701128	0.008315828	0.006350179	0.012758685	0.018224609	0.000570602	0.000844892	1.18227E-06	0	0.008586799	1.09893E-05	2.74062E-07	6.23841E-05	0.000166998	0	1.71496E-05	9.82116E-06	1.51769E-06	9.10709E-06	9.16424E-06	1.99633E-05	3.24462E-05	1.02806E-05	8.28121E-06	7.36841E-06	4.74489E-06	3.0007E-05	5.21306E-06	2.44091E-06
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.100.contigs	0	1.08951E-06	0.002836875	1.96232E-05	1.56612E-06	8.95427E-07	1.33538E-06	1.58532E-05	0.017599548	0	0	0	0	7.1766E-07	1.99806E-06	2.74062E-07	5.82251E-05	1.85553E-05	0	0	0	3.03539E-06	1.07142E-06	0	6.65443E-06	0.00013339	5.14028E-06	0	8.84209E-05	1.58163E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36.contigs	0.01679182	0.003881917	0.003733254	0.003734542	0.000827694	0.007219378	0.004557208	0.005404369	0.002694019	1.25683E-05	4.20643E-06	0	0	0.000758566	9.99029E-07	0	0	1.85553E-05	0	0	0	0	0	0	0	0	0	5.52081E-06	3.6842E-06	1.58163E-06	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.55.contigs	0.008483789	0.00954409	0.007902248	0.008639118	0.004164311	0.008096	0.010804562	0.016620534	0.014406514	4.77596E-05	1.56239E-05	0	0	0.006265887	1.59845E-05	2.74062E-07	8.31788E-06	7.42211E-05	0	2.57244E-05	0	0	1.49999E-05	1.60374E-05	1.33089E-05	1.08154E-05	1.02806E-05	1.10416E-05	1.10526E-05	4.74489E-06	8.57342E-06	2.60653E-06	2.44091E-06
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.20.contigs	0.001081978	0.001489357	0.004056947	0.005722619	0.015950924	0.001064662	0.000645434	0.001278564	0.006705418	1.69672E-05	8.41286E-06	5.91134E-07	0	0.000808803	1.99806E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.95.contigs	5.44011E-05	0.000222804	0.001029176	0.004605322	0.015773953	4.65622E-05	1.33538E-05	2.93285E-05	9.45353E-05	1.13115E-05	2.5539E-05	5.91134E-07	0	0.014015177	1.49854E-05	0	0	3.71106E-05	0	0	9.82116E-06	0	0	7.63687E-07	0	7.21027E-06	0	0	8.84209E-05	3.16326E-06	4.28671E-06	0	2.44091E-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.84.contigs	0.001021068	0.000677674	0.01563767	0.009057338	0.000626448	3.26831E-05	6.63239E-05	0.000164874	0.002744815	5.02733E-06	2.70413E-06	5.91134E-07	4.31251E-07	6.38717E-05	1.99806E-06	1.09625E-06	0	1.85553E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.7.contigs	6.04457E-06	0.00151605	2.90493E-05	0.004962219	0.015510845	1.34314E-05	0.000276424	3.96331E-06	1.69317E-05	5.02733E-06	5.70873E-06	5.91134E-07	8.62501E-07	0.003927752	4.99514E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58163E-06	0	0	0
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.2.contigs	1.76687E-05	0.003780593	2.98793E-05	0.004234934	0.014960354	3.53694E-05	0.0002969	1.34753E-05	2.30459E-05	1.44536E-05	1.29198E-05	5.91134E-07	8.62501E-07	0.037865881	3.5965E-05	0	0	0	0	8.57478E-06	0	0	0	0	1.10907E-06	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.36.contigs	0.000452878	0.00199271	0.003689265	0.006642457	0.002406342	0.000210425	0.000142886	0.012157055	0.014565484	1.88525E-06	9.01378E-07	0	4.31251E-07	0.001014053	0	0	8.31788E-06	0	0	8.57478E-06	0	0	0	0	0	7.21027E-06	5.14028E-06	0	0	1.58163E-06	0	0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51.contigs	0.006388647	0.002752097	4.1499E-06	8.58515E-06	7.8306E-07	0.013948509	0.007531545	0.00204586	0.00462235	1.00547E-05	2.10322E-06	0	0	5.38245E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.47.contigs	1.99936E-05	0.000222804	0.00433665	0.000215855	5.48142E-05	1.47745E-05	0.00038637	0.00027109	0.013947477	8.16941E-06	6.00919E-06	0	0	6.02834E-05	3.99612E-06	2.74062E-07	1.24768E-05	3.71106E-05	0	1.71496E-05	9.82116E-06	0	2.67856E-06	7.63687E-07	3.32721E-06	3.60514E-06	5.14028E-06	8.28121E-06	7.36841E-06	1.58163E-06	2.14336E-05	2.60653E-06	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18.contigs	0.013402675	0.00595743	0.00131967	0.005442988	0.004987307	0.012874893	0.009892943	0.011495975	0.00166589	1.63388E-05	1.53234E-05	5.91134E-07	4.31251E-07	0.004107884	5.99417E-05	0	0	0.000129887	0	1.71496E-05	6.87481E-05	1.51769E-06	0	0	0	8.29181E-05	5.65431E-05	1.3802E-05	0.000213684	8.22448E-05	0	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.35.contigs	6.50954E-06	5.17516E-05	0.013203336	7.60399E-05	0.000106496	8.95427E-06	2.93784E-05	0.000121277	0.004874915	6.28416E-07	3.00459E-07	0	0	8.61192E-06	9.99029E-07	2.74062E-07	0	0	0	0	0	0	0	0	0	0	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27.contigs	0.004648276	0.004447372	0.00303358	0.00590536	0.001608404	0.01298906	0.00173911	0.004238363	0.001957961	6.28416E-06	6.61011E-06	0	0	0.005038689	1.99806E-06	0	0.001688529	0	0	0	0	0	1.07142E-06	7.63687E-07	0	0	5.14028E-06	0	3.6842E-06	0	4.28671E-06	0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50.contigs	0.003117139	0.001331379	8.29981E-06	8.58515E-06	1.56612E-06	0.008469393	0.012882859	0.001123202	0.000356036	2.51366E-06	1.5023E-06	0	0	2.87064E-06	0	1.04143E-05	4.15894E-06	0	0	0	0	0	0	0	0	0	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53.contigs	0.010102339	0.008032398	0.000629956	0.01273669	0.009867334	0.007685447	0.002174444	0.005475708	0.001168757	3.14208E-05	2.79427E-05	5.91134E-07	0	0.025068572	2.09796E-05	0	0.000137245	0	0	8.57478E-06	0	0	5.35711E-07	1.52737E-05	2.21814E-06	0	0	0	0	0	0	2.60653E-06	0
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.13.contigs	0.009451385	0.006296267	0.012555121	0.011239193	0.003540212	0.004000766	0.004133447	0.005608875	0.004815654	5.5929E-05	1.80276E-05	0	4.31251E-07	0.014217557	1.09893E-05	0	2.07947E-05	5.56659E-05	3.19187E-06	0	3.92846E-05	6.07077E-06	2.14285E-06	3.81843E-06	2.99449E-05	3.24462E-05	4.11222E-05	2.20832E-05	3.6842E-05	1.42347E-05	1.71468E-05	7.81959E-06	4.88181E-06
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_maxbin.062.contigs	1.53439E-05	4.90279E-05	4.2329E-05	0.003204715	0.011810105	1.74608E-05	6.6769E-06	7.92662E-06	2.25756E-05	2.51366E-06	1.5023E-06	0	0	0.003117514	3.99612E-06	0	0	1.85553E-05	0	0	0	0	0	0	0	0	0	0	0	1.58163E-06	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32.contigs	0.010524994	0.010892356	0.006301215	0.007102376	0.006082807	0.006453788	0.004609733	0.011641032	0.011671576	1.94809E-05	2.04312E-05	5.91134E-07	0	0.002444349	3.99612E-06	0	2.91126E-05	9.27764E-05	3.19187E-06	2.57244E-05	9.82116E-06	0	1.07142E-06	2.29106E-06	1.33089E-05	3.60514E-06	0	5.52081E-06	1.10526E-05	1.58163E-06	8.57342E-06	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.29.contigs	2.32484E-06	2.17902E-06	0.011253711	1.83968E-05	2.34918E-06	2.23857E-06	3.07137E-05	4.9145E-05	0.004378252	0	9.01378E-07	0	0	1.43532E-06	0	2.74062E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.143.contigs	1.95286E-05	0.000776819	0.0021787	0.000443975	9.63163E-05	1.61177E-05	0.001896685	0.000875099	0.011168329	6.28416E-07	1.20184E-06	0	0	8.18132E-05	7.99223E-06	2.74062E-07	2.91126E-05	5.56659E-05	0	1.71496E-05	0	0	5.35711E-07	7.63687E-07	2.21814E-06	1.08154E-05	1.02806E-05	0	0	1.58163E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120.contigs	0.004253519	0.001140715	0.002361296	0.000203591	2.11426E-05	0.004045986	0.003505373	0.010906234	0.002351153	3.14208E-06	2.70413E-06	0	0	1.79415E-05	0.000383627	0	0	0	0	0	0	0	5.35711E-07	0	0	3.60514E-06	5.14028E-06	0	4.05263E-05	4.74489E-06	0	0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45.contigs	0.010788631	1.25293E-05	1.07898E-05	1.59439E-05	5.48142E-06	5.68596E-05	3.47199E-05	1.10973E-05	4.70325E-06	3.14208E-06	2.10322E-06	6.50247E-06	4.74376E-06	1.43532E-06	1.09893E-05	2.74062E-07	0	0	0	8.57478E-06	0	0	0	0	0	0	0	0	1.47368E-05	1.58163E-06	0	0	0
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.8.contigs	0.000108337	0.001059002	0.000327012	0.004393146	0.010745144	0.000494723	0.000187398	0.000261578	0.006005105	3.39345E-05	4.71721E-05	5.91134E-07	0	0.020732472	8.99126E-06	0	1.24768E-05	7.42211E-05	3.19187E-06	1.71496E-05	0	3.03539E-06	5.35711E-07	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18.contigs	0.004476703	0.005482949	0.001537125	0.003142166	0.002125224	0.005310776	0.007580064	0.01016351	0.00488291	1.13115E-05	9.91516E-06	0	0	0.001499191	1.99806E-06	0	2.49536E-05	7.42211E-05	0	0	0	0	3.74998E-06	1.52737E-06	6.65443E-06	3.60514E-06	0	5.52081E-06	0	0	0	5.21306E-06	0
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.27.contigs	0.004581785	0.010030555	0.000942858	0.008455151	0.00819237	0.006821361	0.001008212	0.001069301	0.003798342	3.33061E-05	6.21951E-05	0	8.62501E-07	0.010629258	4.99514E-06	0	0	1.85553E-05	0	0	0	0	0	7.63687E-07	0	2.16308E-05	7.19639E-05	9.10933E-05	7.36841E-06	4.74489E-06	0	2.60653E-06	2.44091E-06
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16.contigs	0.001500449	0.004755158	0.002109811	0.001468061	0.00240321	0.002311096	0.009875583	0.002114029	0.00311543	6.91258E-06	6.00919E-06	0	0	0.000699001	3.99612E-06	0	1.24768E-05	3.71106E-05	0	0	0	1.51769E-06	5.35711E-07	0	0	2.16308E-05	1.02806E-05	5.52081E-06	2.94736E-05	3.16326E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.9.contigs	0.000517508	0.000460862	0.009605369	0.001806562	0.002391464	0.000803645	0.000780752	0.000658702	0.004991555	4.39891E-06	4.50689E-06	5.91134E-07	0	0.000261946	1.99806E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87.contigs	0.006600672	0.001279082	0.000658175	0.001298811	8.06551E-05	0.009405114	0.002706371	0.008005092	0.001082217	2.51366E-06	1.20184E-06	0	0	0.000411219	1.99806E-06	0	4.15894E-05	1.85553E-05	0	0	0	0	5.35711E-07	3.05475E-06	3.32721E-06	0	0	0	3.6842E-06	3.16326E-06	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.45.contigs	6.27706E-05	8.93397E-05	0.0078068	0.001617688	8.30043E-05	8.05884E-05	0.000206984	0.000435171	0.008907478	3.7705E-06	9.01378E-07	2.30542E-05	2.11313E-05	0.001485556	1.39864E-05	0	1.24768E-05	0	0	0	0	3.03539E-06	0	0	1.10907E-06	3.60514E-06	0	2.7604E-06	7.36841E-06	0	0	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63.contigs	0.001187526	0.008907273	1.07898E-05	7.3587E-06	4.69836E-06	0.002818803	0.007281829	0.000542973	0.000189541	1.13115E-05	2.10322E-06	5.91134E-07	0	1.43532E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51.contigs	0.004921211	0.006395957	0.003299174	0.002126665	0.00263108	0.008181514	0.007774584	0.008322157	0.005961835	7.54099E-06	5.40827E-06	5.91134E-07	0	0.008428196	5.99417E-06	0	3.32715E-05	9.27764E-05	0	8.57478E-06	0	0	1.60713E-06	1.52737E-06	3.32721E-06	0	0	0	0	0	0	0	4.88181E-06
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.50.contigs	9.34584E-05	0.000358448	0.004913487	0.000398596	0.000512121	0.000100288	0.001493845	0.000356698	0.00821422	2.51366E-06	2.70413E-06	9.45814E-06	1.2075E-05	0.000996112	5.99417E-06	1.37031E-06	0	0	0	0	0	0	5.35711E-07	1.52737E-06	0	0	0	2.7604E-06	0	1.58163E-06	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.37.contigs	0.00105966	0.000689114	0.000145247	0.000535959	0.008202549	0.001349856	0.000461151	0.000149813	0.000852699	3.14208E-06	5.10781E-06	0	0	7.24836E-05	0	0	8.31788E-06	3.71106E-05	3.19187E-06	2.57244E-05	2.94635E-05	9.10616E-06	5.35711E-07	7.63687E-07	4.43629E-06	1.08154E-05	2.57014E-05	1.10416E-05	1.47368E-05	6.32652E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.61.contigs	1.06942E-05	6.53705E-06	0.008079864	0.000122645	5.48142E-06	9.40198E-06	5.78665E-06	0.000194202	0.000841411	0	3.00459E-07	5.91134E-07	4.31251E-07	8.61192E-06	0.000149854	2.74062E-07	0	1.85553E-05	0	0	0	0	0	0	0	7.21027E-06	5.14028E-06	0	0	0	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.4.contigs	1.72038E-05	9.7511E-05	0.001443337	0.000466051	9.39672E-05	2.28334E-05	4.80737E-05	0.000389197	0.007718968	0	9.01378E-07	1.18227E-06	2.15625E-06	3.73183E-05	9.99029E-07	2.74062E-07	0	0	0	0	9.82116E-06	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45.contigs	0.001988664	0.001705625	0.003123218	0.001632406	0.00764736	0.002899839	0.000990852	0.000819612	0.001157939	5.34154E-05	0.000109367	4.13794E-06	2.15625E-06	0.000128461	1.09893E-05	2.74062E-07	1.24768E-05	1.85553E-05	0	8.57478E-06	0	0	0	7.63687E-07	1.10907E-06	3.60514E-06	1.54208E-05	1.93228E-05	3.6842E-05	1.2653E-05	0	0	0
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.58.contigs	0.000283165	0.000141636	0.007557806	0.000556809	1.40951E-05	0.000204157	0.00138835	0.003640696	0.003352944	1.88525E-06	9.01378E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.18.contigs	1.11592E-05	2.12454E-05	0.000292983	2.33026E-05	2.50579E-05	4.47713E-06	1.69148E-05	2.61578E-05	0.007550592	0	3.00459E-07	0	0	1.36355E-05	0	0	1.24768E-05	0	0	0	0	0	3.74998E-06	7.63687E-07	1.10907E-06	3.60514E-06	0	0	3.6842E-06	0	4.28671E-06	2.60653E-06	2.44091E-06
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.32.contigs	3.11528E-05	0.002597387	0.001620123	0.000841345	0.00050429	6.53661E-05	0.002549241	0.001141433	0.00733095	1.25683E-06	2.40367E-06	0	4.31251E-07	9.54487E-05	6.9932E-06	0	5.82251E-05	5.56659E-05	6.38374E-06	0	0	0	3.21427E-06	4.58212E-06	6.65443E-06	1.08154E-05	5.14028E-06	0	3.6842E-06	1.58163E-06	0	0	2.44091E-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.119.contigs	0.001757575	0.00158251	0.007325411	0.001862978	0.000842572	0.000903486	0.003166632	0.000382063	0.001105733	1.38252E-05	1.23188E-05	0	0	1.07649E-05	0	5.48124E-07	0	3.71106E-05	0	0	0	0	0	0	0	3.60514E-06	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11.contigs	7.90444E-06	1.63426E-06	2.48994E-06	6.13225E-06	9.39672E-06	1.34314E-05	2.67076E-06	7.92662E-07	1.8813E-06	0.006865447	0.007013323	0	0	4.30596E-06	9.99029E-07	0	0	0	0	0	0	0	5.35711E-07	0	0	0	0	0	0	0	4.28671E-06	2.60653E-06	0
