I#OTU_ID	Salt_Pond_MetaGSF2_A_D1_MG	Salt_Pond_MetaGSF2_A_D2_MG	Salt_Pond_MetaGSF2_A_H2O_MG	Salt_Pond_MetaGSF2_B_D1_MG	Salt_Pond_MetaGSF2_B_D2_MG	Salt_Pond_MetaGSF2_B_H2O_MG	Salt_Pond_MetaGSF2_C_D1_MG	Salt_Pond_MetaGSF2_C_D2_MG	Salt_Pond_MetaGSF2_C_H2O_MG	Salt_Pond_MetaG_R1_A_D1_MG	Salt_Pond_MetaG_R1_A_D2_MG	Salt_Pond_MetaG_R1_A_H2O_MG	Salt_Pond_MetaG_R1_B_D1_MG	Salt_Pond_MetaG_R1_B_D2_MG	Salt_Pond_MetaG_R1_B_H2O_MG	Salt_Pond_MetaG_R1_C_D1_MG	Salt_Pond_MetaG_R1_C_D2_MG	Salt_Pond_MetaG_R1_C_H2O_MG	Salt_Pond_MetaG_R2A_A_D1_MG	Salt_Pond_MetaG_R2A_A_D2_MG	Salt_Pond_MetaG_R2A_A_H2O_MG	Salt_Pond_MetaG_R2A_B_D1_MG	Salt_Pond_MetaG_R2A_B_D2_MG	Salt_Pond_MetaG_R2A_B_H2O_MG	Salt_Pond_MetaG_R2A_C_D1_MG	Salt_Pond_MetaG_R2A_C_D2_MG	Salt_Pond_MetaG_R2A_C_H2O_MG	Salt_Pond_MetaG_R2_A_D1_MG	Salt_Pond_MetaG_R2_A_D2_MG	Salt_Pond_MetaG_R2_A_H2O_MG	Salt_Pond_MetaG_R2_B_D1_MG	Salt_Pond_MetaG_R2_B_D2_MG	Salt_Pond_MetaG_R2_B_H2O_MG	Salt_Pond_MetaG_R2_C_D1_MG	Salt_Pond_MetaG_R2_C_D2_MG	Salt_Pond_MetaG_R2_C_H2O_MG	Salt_Pond_MetaG_R2_restored_C_black_MG	Salt_Pond_MetaG_R2_restored_DShore_MG	Salt_Pond_MetaG_R2_restored_H2O_MG
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1	6.0	80.0	58.0	56.0	95.0	76.0	50.0	144.0	58.0	53436.0	88337.0	6074.0	41873.0	73970.0	7545.0	57985.0	49799.0	11241.0	49.0	12.0	51.0	35.0	16.0	66.0	4.0	4.0	30.0	8082.0	1017.0	38.0	1824.0	31884.0	61.0	1528.0	2101.0	24.0	483.0	121.0	6.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109	1007.0	2229.0	975.0	2250.0	4548.0	392.0	2662.0	4332.0	310.0	208927.0	284303.0	8475.0	107034.0	249873.0	7628.0	85473.0	76226.0	18377.0	4692.0	158.0	866.0	1283.0	2732.0	1342.0	1123.0	7797.0	4023.0	45276.0	5323.0	20.0	27999.0	40678.0	93.0	27435.0	24120.0	74.0	28755.0	2563.0	4.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21	143.0	943.0	834.0	253.0	367.0	368.0	527.0	326.0	402.0	171252.0	172803.0	4990.0	48418.0	45779.0	7426.0	69677.0	59127.0	16888.0	35.0	20.0	27.0	84.0	26.0	64.0	8.0	34.0	88.0	25480.0	3642.0	40.0	60690.0	32412.0	128.0	52028.0	7837.0	72.0	65357.0	741.0	2.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25	8.0	14.0	101.0	24.0	28.0	108.0	16.0	54.0	134.0	32715.0	127273.0	3157.0	57283.0	88100.0	4270.0	2504.0	1775.0	5749.0	42.0	15.0	68.0	31.0	14.0	67.0	12.0	12.0	42.0	1227.0	168.0	10.0	3120.0	7086.0	6.0	1357.0	4742.0	6.0	845.0	23.0	7.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51	256.0	315.0	138.0	725.0	1550.0	54.0	403.0	550.0	58.0	114304.0	116225.0	5932.0	32293.0	48312.0	4989.0	50237.0	37608.0	10098.0	110.0	13.0	71.0	112.0	125.0	67.0	50.0	124.0	206.0	8104.0	2093.0	18.0	25313.0	7984.0	72.0	51706.0	6953.0	26.0	27383.0	744.0	2.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15	132.0	284.0	154.0	583.0	1569.0	124.0	466.0	591.0	112.0	93946.0	142509.0	5743.0	71948.0	107458.0	6400.0	83292.0	87107.0	53482.0	129.0	107.0	144.0	512.0	331.0	158.0	202.0	408.0	212.0	229420.0	28743.0	25.0	95381.0	262592.0	155.0	125663.0	121376.0	224.0	59648.0	3020.0	32.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27	441.0	121.0	996.0	116.0	183.0	246.0	334.0	165.0	301.0	222410.0	439269.0	4618.0	210422.0	121416.0	4994.0	84800.0	142177.0	29430.0	41531.0	107.0	1083.0	286.0	34.0	1033.0	115.0	59.0	437.0	110668.0	9842.0	24.0	134304.0	127331.0	123.0	92919.0	196970.0	170.0	164098.0	1310.0	15.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31	865.0	1446.0	1432.0	1164.0	1642.0	1167.0	1149.0	2319.0	1261.0	320075.0	1383681.0	7586.0	970427.0	1587610.0	7446.0	39658.0	93304.0	10831.0	1187.0	360.0	1325.0	456.0	797.0	1465.0	341.0	1156.0	2234.0	19705.0	1713.0	41.0	14246.0	129918.0	56.0	12934.0	13479.0	25.0	12615.0	682.0	10.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36	138.0	517.0	176.0	461.0	1121.0	119.0	265.0	1380.0	87.0	480265.0	312948.0	7893.0	185076.0	250171.0	6989.0	118040.0	145049.0	35254.0	363.0	62.0	122.0	301.0	100.0	172.0	94.0	191.0	296.0	110786.0	10818.0	3237.0	92906.0	138408.0	2784.0	53478.0	58583.0	4235.0	56151.0	797.0	9.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45	15.0	164.0	209.0	129.0	276.0	246.0	100.0	231.0	308.0	123226.0	142946.0	7903.0	109783.0	89453.0	15559.0	43933.0	53933.0	38293.0	139.0	77.0	209.0	223.0	48.0	379.0	56.0	68.0	230.0	118663.0	10940.0	251.0	63617.0	90133.0	410.0	209640.0	118298.0	325.0	18647.0	806.0	169.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48	4.0	20.0	8.0	11.0	12.0	8.0	24.0	29.0	9.0	27142.0	146962.0	696.0	12221.0	27696.0	336.0	5879.0	24554.0	712.0	29.0	8.0	10.0	20.0	8.0	10.0	6.0	4.0	2.0	557.0	178.0	0	410.0	180616.0	2.0	237.0	5803.0	6.0	1112.0	12.0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50	12.0	17.0	14.0	11.0	42.0	16.0	14.0	89.0	19.0	123383.0	258873.0	2791.0	66865.0	355777.0	1744.0	52768.0	49216.0	2111.0	30.0	4.0	16.0	10.0	5.0	19.0	10.0	9.0	20.0	1493.0	226.0	4.0	1836.0	35714.0	36.0	879.0	3727.0	9.0	2105.0	14.0	47.0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84	3.0	20.0	40.0	10.0	18.0	26.0	10.0	26.0	52.0	36271.0	40370.0	697.0	9211.0	26785.0	345.0	7241.0	17553.0	11727.0	23.0	12.0	34.0	48.0	26.0	14.0	8.0	26.0	21.0	49055.0	2381.0	2.0	5116.0	24565.0	7.0	1043.0	4305.0	28.0	70.0	287.0	2.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2	31.0	80.0	1703.0	62.0	98.0	422.0	32.0	96.0	2753.0	6216.0	7694.0	3447059.0	9608.0	2375.0	5477348.0	3645.0	1558.0	6494223.0	254.0	105.0	277.0	36.0	34.0	286.0	36.0	32.0	215.0	1056.0	440.0	749.0	3676.0	1244.0	839.0	2835.0	910.0	482.0	475.0	196.0	114.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022	27.0	30.0	62.0	18.0	36.0	53.0	36.0	18.0	111.0	988.0	1046.0	98524.0	679.0	529.0	184728.0	1234.0	503.0	185702.0	41.0	28.0	57.0	38.0	12.0	50.0	12.0	21.0	39.0	1088.0	1307.0	1392.0	869.0	840.0	1319.0	1055.0	474.0	941.0	313.0	197.0	120.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14	8.0	59.0	305.0	172.0	521.0	89.0	26.0	392.0	451.0	632.0	357.0	696769.0	683.0	417.0	1371747.0	838.0	572.0	1328250.0	91.0	41.0	89.0	25.0	6.0	52.0	20.0	16.0	48.0	730.0	4491.0	5752.0	624.0	798.0	4898.0	389.0	260.0	6577.0	139.0	282.0	93.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6	338.0	279.0	2723.0	260.0	250.0	4327.0	483.0	247.0	5534.0	2339.0	3049.0	381891.0	11321.0	1788.0	320258.0	5368.0	938.0	144295.0	453.0	1862.0	3716.0	554.0	994.0	4503.0	349.0	350.0	2627.0	1827.0	868.0	1047.0	1373.0	2175.0	908.0	2535.0	885.0	646.0	1500.0	354.0	122.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8	149.0	478.0	1606.0	1504.0	3843.0	1636.0	455.0	3457.0	2887.0	9146.0	7233.0	203378.0	16286.0	5097.0	579752.0	19015.0	16700.0	360702.0	130.0	310.0	32789.0	427.0	149.0	7943.0	1415.0	186.0	5824.0	35236.0	7084059.0	8616267.0	53453.0	45439.0	6368050.0	35269.0	90106.0	8552413.0	5481.0	3857.0	919.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53	202.0	422.0	992.0	186.0	451.0	224.0	549.0	686.0	167.0	349257.0	296755.0	15304.0	256249.0	130437.0	20422.0	234370.0	161558.0	45574.0	12586.0	549.0	3453.0	539.0	182.0	12322.0	209.0	220.0	2533.0	52427.0	9884.0	36.0	208610.0	94334.0	316.0	234026.0	49106.0	264.0	501166.0	8767.0	14.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59	12.0	115.0	79.0	124.0	241.0	111.0	46.0	148.0	115.0	104018.0	105489.0	8345.0	162831.0	118462.0	16002.0	43815.0	47412.0	36878.0	111.0	44.0	80.0	182.0	35.0	261.0	47.0	30.0	137.0	106738.0	9245.0	143.0	62579.0	76996.0	310.0	190989.0	86126.0	218.0	14924.0	631.0	33.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89	116.0	147.0	517.0	261.0	325.0	662.0	152.0	312.0	608.0	12562.0	41515.0	7061.0	518694.0	31668.0	14550.0	12985.0	5187.0	18372.0	537.0	584.0	3836.0	211.0	126.0	2673.0	151.0	105.0	3084.0	18631.0	3670.0	58.0	99621.0	5843.0	170.0	365816.0	5212.0	55.0	53213.0	1630.0	1013.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13	23.0	37.0	22.0	275.0	794.0	70.0	94.0	333.0	21.0	676267.0	663742.0	8663.0	346231.0	588297.0	12505.0	463436.0	264137.0	28158.0	190.0	63.0	75.0	363.0	83.0	173.0	127.0	87.0	33.0	60894.0	6494.0	87.0	128824.0	97697.0	415.0	175256.0	32552.0	125.0	105480.0	2671.0	190.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16	17253.0	40939.0	8812.0	24827.0	18390.0	4845.0	19597.0	11513.0	4315.0	129108.0	68039.0	23007.0	302629.0	83903.0	30219.0	180459.0	202148.0	46857.0	62400.0	21095.0	4557.0	19453.0	5203.0	5375.0	8750.0	5294.0	7636.0	119639.0	51574.0	66.0	330627.0	642955.0	294.0	186311.0	80063.0	209.0	157871.0	3427.0	6260.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20	1913.0	3164.0	3005.0	3364.0	3407.0	1328.0	2787.0	2473.0	1225.0	311185.0	272034.0	10826.0	540179.0	532350.0	19615.0	334063.0	304933.0	34978.0	30242.0	17278.0	3133.0	15093.0	5083.0	6694.0	11663.0	6916.0	10398.0	122420.0	32145.0	82.0	197958.0	310776.0	421.0	306851.0	67701.0	475.0	412247.0	9822.0	143.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28	39.0	98.0	74.0	280.0	867.0	199.0	191.0	734.0	104.0	1428635.0	1781285.0	28149.0	1387785.0	1278463.0	40794.0	972544.0	1165547.0	119390.0	324.0	251.0	216.0	2662.0	376.0	520.0	787.0	222.0	160.0	386320.0	45155.0	126.0	609685.0	601803.0	1147.0	996167.0	208082.0	585.0	658120.0	11639.0	105.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29	828.0	1195.0	884.0	1187.0	1483.0	409.0	1042.0	1171.0	235.0	600353.0	473673.0	27994.0	626992.0	802731.0	46095.0	596275.0	829448.0	99093.0	1578.0	1429.0	2119.0	3956.0	1039.0	1552.0	2539.0	1284.0	1148.0	320122.0	79225.0	174.0	498643.0	916908.0	902.0	496757.0	228860.0	699.0	495842.0	22560.0	39.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32	1789.0	2811.0	3607.0	4127.0	3731.0	1996.0	2865.0	2198.0	1636.0	336408.0	245825.0	10649.0	320387.0	213307.0	17281.0	191244.0	255519.0	42254.0	14792.0	7405.0	4603.0	8285.0	3096.0	5423.0	4721.0	2599.0	10622.0	171539.0	36755.0	32.0	145490.0	384875.0	309.0	169591.0	86063.0	244.0	108764.0	4864.0	140.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38	1300.0	1832.0	1195.0	1400.0	1459.0	271.0	1309.0	868.0	245.0	33422.0	33655.0	13696.0	190015.0	139055.0	21735.0	39473.0	65340.0	63338.0	2406.0	2221.0	2258.0	3058.0	1349.0	1435.0	2650.0	1846.0	1664.0	225503.0	17131.0	1558.0	165856.0	209483.0	1649.0	373568.0	67982.0	1850.0	50404.0	4792.0	18.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40	1091.0	1655.0	2217.0	2299.0	2145.0	1141.0	1626.0	1536.0	938.0	188621.0	183656.0	42537.0	459145.0	204513.0	79693.0	194026.0	127564.0	55737.0	10781.0	5168.0	3352.0	5789.0	2090.0	3898.0	3781.0	2020.0	6434.0	41190.0	9076.0	49.0	129067.0	89184.0	473.0	405522.0	33098.0	126.0	74578.0	2653.0	148.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41	539.0	1852.0	370.0	2992.0	4716.0	257.0	1565.0	5916.0	195.0	740888.0	608933.0	12775.0	474800.0	770133.0	20603.0	383239.0	344456.0	46532.0	1151.0	1354.0	334.0	2239.0	850.0	577.0	1756.0	913.0	349.0	250546.0	111008.0	39.0	154970.0	670734.0	410.0	167543.0	270166.0	459.0	301890.0	17453.0	26.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49	270.0	466.0	247.0	659.0	1454.0	109.0	575.0	779.0	107.0	63588.0	72000.0	4247.0	75989.0	73155.0	4374.0	56696.0	58908.0	36247.0	521.0	457.0	130.0	659.0	524.0	150.0	348.0	507.0	267.0	155740.0	19522.0	362.0	65989.0	180185.0	450.0	86350.0	83138.0	420.0	42504.0	2315.0	89.0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58	14.0	39.0	22.0	80.0	183.0	16.0	37.0	94.0	26.0	147958.0	144693.0	2394.0	148952.0	212271.0	6467.0	13905.0	21082.0	10885.0	32.0	36.0	8.0	89.0	28.0	51.0	43.0	21.0	31.0	35273.0	3583.0	242.0	3613.0	41412.0	211.0	5325.0	11849.0	161.0	5015.0	297.0	4.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120	46.0	283.0	117.0	2176.0	7713.0	60.0	320.0	2244.0	50.0	165677.0	159800.0	2404.0	65300.0	138065.0	2454.0	65382.0	215907.0	15220.0	22.0	123.0	90.0	175.0	294.0	34.0	70.0	132.0	22.0	81545.0	23681.0	4.0	20214.0	114297.0	36.0	2249.0	6582.0	54.0	7863.0	33738.0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37	845.0	1066.0	1704.0	2328.0	1757.0	1061.0	1188.0	545.0	886.0	4831.0	13108.0	1617.0	75044.0	124291.0	1222.0	3508.0	11226.0	4172.0	4639.0	1120.0	79544.0	1663.0	510.0	30052.0	799.0	391.0	14412.0	16706.0	2814.0	21.0	11107.0	35783.0	23.0	17311.0	16208.0	23.0	16891.0	638.0	26.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51	1303.0	1909.0	2261.0	2484.0	2477.0	900.0	1822.0	1874.0	621.0	213460.0	304622.0	7048.0	256867.0	329997.0	10578.0	218127.0	219676.0	32687.0	14594.0	8030.0	2613.0	8425.0	2986.0	4168.0	5815.0	3097.0	7042.0	138374.0	25373.0	77.0	92665.0	289130.0	368.0	131747.0	51997.0	326.0	218660.0	5927.0	101.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.73	13.0	62.0	67.0	72.0	167.0	50.0	35.0	147.0	77.0	74375.0	75147.0	5503.0	101911.0	112071.0	10360.0	29159.0	31428.0	25659.0	75.0	22.0	45.0	96.0	20.0	139.0	40.0	21.0	52.0	75118.0	6247.0	110.0	41806.0	53467.0	167.0	132678.0	57055.0	178.0	9067.0	457.0	15.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.86	33.0	32.0	173.0	64.0	107.0	28.0	36.0	63.0	43.0	1359.0	5032.0	1272.0	55630.0	157965.0	1253.0	1134.0	3261.0	2834.0	175.0	61.0	582.0	102.0	30.0	1945.0	58.0	28.0	674.0	7544.0	1079.0	42.0	6140.0	9409.0	32.0	9727.0	7298.0	61.0	45459.0	3132.0	6.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87	444.0	381.0	822.0	619.0	574.0	625.0	856.0	762.0	640.0	233031.0	366028.0	2684.0	91139.0	123921.0	2900.0	52461.0	184011.0	15924.0	5113.0	925.0	1606.0	813.0	274.0	3130.0	419.0	275.0	2748.0	40945.0	4647.0	14.0	51195.0	73475.0	58.0	18177.0	25817.0	32.0	38973.0	1411.0	4.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014	2176.0	2333.0	2164.0	1739.0	1561.0	852.0	1658.0	750.0	795.0	727343.0	540633.0	38702.0	277163.0	437877.0	132728.0	459448.0	384279.0	90968.0	2277.0	1477.0	1890.0	2477.0	676.0	1356.0	1188.0	877.0	3145.0	102645.0	12890.0	43.0	145172.0	218696.0	492.0	211698.0	69955.0	238.0	209917.0	3932.0	1246.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14	2.0	60.0	28.0	135.0	313.0	157.0	98.0	413.0	50.0	352604.0	227121.0	27050.0	424063.0	275538.0	38211.0	525747.0	322122.0	106458.0	277.0	148.0	154.0	1553.0	276.0	377.0	522.0	213.0	77.0	327535.0	66129.0	56.0	680507.0	700771.0	661.0	508235.0	243671.0	773.0	1291751.0	14488.0	10.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16	6372.0	7358.0	4822.0	8105.0	10784.0	980.0	5454.0	4996.0	784.0	109676.0	141077.0	3786.0	191754.0	360197.0	6327.0	111889.0	100631.0	22447.0	6267.0	7102.0	777.0	7648.0	4372.0	1033.0	7409.0	4594.0	3130.0	102187.0	17402.0	33.0	69313.0	170907.0	154.0	108449.0	53410.0	115.0	60579.0	7113.0	33.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18	686.0	1012.0	1403.0	1470.0	1382.0	742.0	1062.0	741.0	761.0	186901.0	212881.0	4355.0	194640.0	272733.0	6194.0	157225.0	225867.0	19183.0	5328.0	2166.0	2189.0	2883.0	916.0	2202.0	1462.0	765.0	4007.0	76050.0	12644.0	36.0	90392.0	205426.0	226.0	90968.0	60303.0	154.0	79611.0	2316.0	58.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.19	146.0	303.0	155.0	582.0	1563.0	112.0	456.0	676.0	121.0	90857.0	103432.0	5670.0	72022.0	139538.0	6420.0	80810.0	84189.0	57685.0	162.0	104.0	134.0	490.0	302.0	147.0	144.0	400.0	173.0	249085.0	28980.0	15.0	94443.0	265789.0	123.0	124614.0	125823.0	218.0	58018.0	2910.0	48.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.27	3498.0	3945.0	2723.0	2313.0	2438.0	611.0	2847.0	1972.0	507.0	117598.0	127053.0	4094.0	130061.0	200552.0	5906.0	129017.0	63582.0	16524.0	17556.0	15600.0	690.0	16452.0	8019.0	2101.0	10327.0	10378.0	2366.0	68601.0	15206.0	195.0	53888.0	96256.0	302.0	82959.0	55646.0	321.0	91878.0	5804.0	162.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28	1193.0	1707.0	2616.0	2913.0	2374.0	1524.0	1702.0	1245.0	1241.0	469784.0	402631.0	10557.0	388463.0	357377.0	14873.0	305283.0	456439.0	48092.0	8499.0	3229.0	5642.0	4558.0	1369.0	4326.0	2197.0	1057.0	6199.0	170127.0	20572.0	34.0	305078.0	462716.0	568.0	417190.0	129387.0	400.0	259714.0	3561.0	320.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.30	5265.0	4481.0	2071.0	7719.0	7349.0	543.0	4590.0	4483.0	474.0	114419.0	114079.0	6752.0	141171.0	224229.0	10281.0	120011.0	98478.0	17964.0	5774.0	2364.0	549.0	3511.0	2284.0	1638.0	4210.0	6531.0	4613.0	61441.0	20554.0	22.0	70148.0	109857.0	139.0	87102.0	43124.0	233.0	232935.0	8264.0	21.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.34	1286.0	1355.0	1586.0	2073.0	2050.0	758.0	7149.0	2326.0	732.0	95591.0	117964.0	3565.0	170576.0	202415.0	4909.0	63268.0	100338.0	23303.0	8605.0	7960.0	1430.0	8099.0	1733.0	2364.0	1524.0	639.0	3244.0	108633.0	22007.0	14.0	106882.0	236949.0	98.0	106869.0	52188.0	112.0	58455.0	4674.0	22.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.37	157.0	144.0	381.0	137.0	263.0	431.0	201.0	192.0	398.0	63886.0	69926.0	1589.0	60993.0	121516.0	2133.0	61973.0	43167.0	7507.0	362.0	184.0	584.0	243.0	121.0	520.0	116.0	138.0	716.0	26072.0	3077.0	19.0	41321.0	53945.0	81.0	42061.0	17189.0	51.0	27334.0	1648.0	44.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63	83.0	151.0	440.0	92.0	180.0	379.0	159.0	341.0	607.0	63078.0	110358.0	5282.0	212643.0	212693.0	2827.0	26022.0	33863.0	6873.0	241.0	92.0	477.0	112.0	67.0	417.0	94.0	154.0	258.0	4424.0	597.0	24.0	3054.0	27189.0	22.0	2006.0	3462.0	7.0	1454.0	96.0	23.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.78	91.0	69.0	140.0	109.0	186.0	158.0	116.0	196.0	135.0	57963.0	150681.0	1732.0	63856.0	132129.0	2272.0	6938.0	6242.0	2656.0	75.0	44.0	266.0	62.0	69.0	151.0	20.0	60.0	111.0	6830.0	1108.0	28.0	4716.0	7668.0	20.0	3213.0	3946.0	12.0	928.0	120.0	4.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.13	10.0	18.0	41.0	32.0	39.0	12.0	20.0	42.0	82.0	65.0	66.0	53325.0	164.0	49.0	101913.0	71.0	59.0	90308.0	35.0	26.0	43.0	20.0	14.0	28.0	26.0	8.0	38.0	141.0	59.0	35.0	87.0	60.0	32.0	73.0	94.0	12.0	74.0	58.0	6.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19	72.0	178.0	1792.0	94.0	126.0	2443.0	125.0	154.0	2572.0	830.0	881.0	378910.0	1399.0	1072.0	328002.0	921.0	582.0	702867.0	1466.0	287.0	3109.0	200.0	241.0	2900.0	202.0	306.0	1907.0	9575.0	1505.0	158.0	2793.0	5211.0	151.0	4757.0	7669.0	96.0	533.0	1265.0	36262.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.22	916.0	2789.0	738.0	1061.0	1158.0	232.0	2098.0	1995.0	234.0	179987.0	38644.0	54012.0	42101.0	44237.0	126122.0	22882.0	26868.0	96697.0	1186.0	1252.0	421.0	1331.0	886.0	309.0	1507.0	1651.0	672.0	21015.0	8654.0	854.0	27537.0	22070.0	859.0	13997.0	6369.0	822.0	7390.0	16087.0	27.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028	413.0	709.0	612.0	484.0	576.0	250.0	418.0	631.0	433.0	2304.0	1685.0	289967.0	2145.0	1769.0	627773.0	1939.0	1468.0	526261.0	578.0	531.0	925.0	577.0	434.0	677.0	656.0	756.0	642.0	1111.0	10173.0	12191.0	1823.0	1867.0	12513.0	2513.0	1121.0	8971.0	1620.0	4395.0	41.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11	852.0	1068.0	3128.0	1566.0	1345.0	3660.0	1097.0	713.0	3876.0	6532.0	10172.0	233543.0	4307.0	3419.0	397381.0	2721.0	2430.0	438493.0	3211.0	1319.0	4299.0	961.0	527.0	4175.0	767.0	765.0	4753.0	3563.0	577.0	54.0	3338.0	4524.0	49.0	5399.0	3099.0	76.0	2972.0	315.0	60.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17	17.0	115.0	2336.0	236.0	656.0	623.0	44.0	498.0	3321.0	2216.0	1024.0	5286795.0	2968.0	1483.0	11938599.0	3176.0	1460.0	10249037.0	482.0	137.0	591.0	26.0	8.0	441.0	26.0	15.0	279.0	3517.0	15994.0	19609.0	3057.0	3016.0	18628.0	2374.0	1294.0	15697.0	363.0	1269.0	1374.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.5	221.0	216.0	583.0	212.0	267.0	578.0	274.0	175.0	673.0	4870.0	11444.0	93949.0	39925.0	3677.0	203585.0	3796.0	2918.0	20817.0	487.0	353.0	2003.0	284.0	163.0	1455.0	205.0	262.0	1630.0	4273.0	1946.0	1978.0	5104.0	5563.0	1738.0	12346.0	4443.0	1262.0	3728.0	404.0	36.0
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.7	41.0	67.0	172.0	71.0	68.0	133.0	70.0	115.0	262.0	293.0	396.0	163111.0	1274.0	280.0	158280.0	798.0	325.0	48573.0	113.0	88.0	725.0	91.0	53.0	438.0	46.0	56.0	495.0	6054.0	471.0	148.0	802.0	3242.0	136.0	761.0	563.0	90.0	198.0	113.0	338.0
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_concoct_out.45	26.0	53.0	20.0	304.0	1146.0	14.0	165.0	195.0	0	71344.0	75496.0	3602.0	49785.0	77285.0	4375.0	95214.0	70571.0	30765.0	39.0	40.0	28.0	335.0	67.0	21.0	78.0	50.0	18.0	139109.0	21340.0	19.0	67913.0	163644.0	113.0	85178.0	81655.0	140.0	54130.0	2266.0	5.0
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_maxbin.047	81.0	209.0	187.0	136.0	161.0	170.0	198.0	365.0	210.0	137138.0	264299.0	3334.0	71459.0	199371.0	3234.0	82650.0	52078.0	5086.0	280.0	57.0	353.0	69.0	87.0	204.0	59.0	150.0	148.0	5961.0	1091.0	10.0	5879.0	103626.0	62.0	4155.0	14476.0	29.0	9115.0	143.0	83.0
