MAG,domain,phylum,class,order,family,genus,species,SF2_A_D1,SF2_A_D2,SF2_B_D1,SF2_B_D2,SF2_C_D1,SF2_C_D2,R1_A_D1,R1_A_D2,R1_B_D1,R1_B_D2,R1_C_D1,R1_C_D2,R2A_A_D1,R2A_A_D2,R2A_B_D1,R2A_B_D2,R2A_C_D1,R2A_C_D2,R2_A_D1,R2_A_D2,R2_B_D1,R2_B_D2,R2_C_D1,R2_C_D2
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.35,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Salinarimonas,,1.07200477757464e-05,2.10669371577515e-05,1.70903619102732e-05,2.635992003937e-05,1.77448357150846e-05,3.47885359142209e-05,5.64617265178783e-05,7.74188577177004e-05,0.0003042408266117,0.0002078073396287,0.0001190349790492,0.0004928930685459,0.0001086193813322,0.0001395029072636,0.000188184083006,0.0001068041164908,0.0002398942831185,0.0001396578981892,0.0041682137038688,0.0004483418018049,0.00031949128461,0.0025945181620117,0.0004190633880132,0.0008172292743952
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,2.64895386159565e-05,3.42443998674024e-05,4.74411103344371e-05,4.87493081899647e-05,3.79862392255816e-05,4.38853440108845e-05,0.0049682871291365,0.007410947537623,0.0073556205823064,0.0103073678222919,0.0059982958263014,0.0062005662415329,0.0002787176596105,0.0001334694983372,0.0002012675114523,6.16765390610731e-05,0.000118373442205,5.68886845628163e-05,0.0053694139524166,0.0009650621045454,0.0023874357597606,0.0071899118056153,0.0028676929259832,0.0029113389685267
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.52,Bacteria,Spirochaetota,UBA12135,UBA12135,,,,1.60299779824245e-07,1.70031776898721e-07,3.61318433620998e-07,5.14698578174589e-07,3.07269882512288e-07,2.02651665519733e-07,2.52224445482919e-05,9.33616137309794e-06,1.77424070457055e-05,4.52988368565227e-05,0.0001186108108943,9.58763249892809e-05,0.0,3.49762836313581e-08,1.59497625935627e-06,1.74659225659676e-07,2.23219766556768e-07,2.98334628975766e-07,0.0022378002407771,4.71370444782694e-05,4.94510741939832e-05,9.4984880376493e-05,8.24215803416848e-06,7.46123174838258e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.66,Bacteria,Krumholzibacteriota,Krumholzibacteria,Krumholzibacteriales,Krumholzibacteriaceae,,,3.74700735339172e-06,3.92773404636046e-06,5.51010611272022e-06,5.69844854407581e-06,3.70644295780447e-06,3.24242664831573e-06,7.06849095338323e-06,4.92017442939798e-06,6.59951215344934e-06,1.12774333881893e-05,1.95117351254721e-05,0.0001127052124644,1.43565854529772e-06,2.64070941416754e-06,8.34473086416831e-06,2.86004482017719e-06,1.85272406242118e-06,1.67813228798868e-06,0.0020441150045234,0.0011066407867165,0.0001882581623854,0.0004080708427189,1.63537841537687e-05,4.26356099907576e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.84,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,SURF-3,,,2.59485268590496e-05,2.66779857954093e-05,3.7649380783308e-05,3.78671096799876e-05,3.47407010915455e-05,3.45633673969767e-05,0.0014509370698456,0.0001020892729661,0.00114322453623,0.0002160419289472,0.0023818827868901,0.000537272119068,4.36149431482851e-06,2.60573313053618e-06,3.50894777058379e-05,1.59376543414454e-05,1.34824739000288e-05,8.39066143994341e-06,0.0051840050576455,0.0011997792675715,0.0039956132260496,0.0019841172150351,0.0012522485987026,0.0024401032791552
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.93,Bacteria,Patescibacteria,ABY1,BM507,BM507,,,3.2059955964849e-07,3.06057198417698e-07,4.15516198664148e-07,3.67641841553278e-07,2.30452411884216e-07,3.60269627590637e-07,7.87878137974668e-06,1.03619221198629e-05,1.18227441341944e-05,1.17244048334529e-05,4.01620268772589e-05,7.49610496937274e-05,0.0,2.79810269050865e-07,2.84321854928726e-06,6.98636902638703e-07,1.45092848261899e-06,8.57712058305327e-07,0.000906675565121,0.0001101912189047,0.0007273524990059,0.000694038416563,2.39992248641965e-05,6.39253652427214e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.98,Bacteria,Synergistota,Synergistia,Synergistales,,,,8.01498899121225e-08,3.91073086867058e-07,1.21041675263034e-06,3.80509306007643e-06,3.45678617826324e-07,2.61195480003212e-06,0.0079844466993888,0.0080267517011894,0.0043113883304176,0.0060956418496201,0.0035262438195351,0.0033712919216155,5.08841003396659e-07,8.04454523521236e-07,6.07940226392317e-06,1.00429054754314e-06,1.38396255265196e-06,6.71252915195473e-07,0.0027570896287578,0.000277311775098,0.0010784824004529,0.0060329374946147,0.001135832778324,0.002371549706249
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_maxbin.001,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,S36-B12,,2.6850213120561e-06,6.25716938987293e-06,2.94474523401114e-06,3.21686611359118e-06,3.89848663437465e-06,3.89541534832376e-06,4.6376196742929e-06,5.38959036435821e-06,3.66621139981821e-05,2.80216713761412e-05,7.25550791278996e-06,9.08452346083127e-05,7.06925536861787e-05,8.93644046781199e-06,9.10754559690391e-06,8.68929647656888e-06,8.01358961938798e-06,7.40242798146119e-06,0.0018747248352026,0.0001512965088763,0.0001169244108965,0.0009782750294391,1.11698024037713e-05,0.0012819574232944
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.10,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Rhodohalobacter,,1.20224834868184e-06,1.32624785981002e-06,2.96281115569219e-06,7.05872335782294e-06,2.47736342775532e-06,7.76831384492311e-06,0.0150971071011198,0.013641400927698,0.0052836888182111,0.0082885009512927,0.0109949743664022,0.0087963232703616,5.36100342864337e-06,2.57075684690482e-06,2.20522804554475e-05,4.34464823828444e-06,5.35727439736243e-06,2.74094940371485e-06,0.0039476735455366,0.0009234727848912,0.0065894972548254,0.0038191794578271,0.0050750808384146,0.0034441157949507
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.12,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Wenzhouxiangellaceae,GCA-2722315,,3.42440404649543e-05,3.74409972730984e-05,3.77758422350754e-05,5.51462762329917e-05,4.00987196678536e-05,4.88840850937046e-05,0.0348074562028542,0.0334904624939624,0.0311965074718416,0.038265466105949,0.0436964415149358,0.0347266729430068,5.0284394871377e-05,4.58713959825261e-05,0.0002223258211954,4.35993092052966e-05,0.0001082392648033,4.57570737191581e-05,0.0117208071842036,0.0028406398917084,0.0224598302860953,0.0186180366645741,0.0334442904333607,0.014405422576397
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.24,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA12077,,,1.92359735789094e-06,3.2306037610757e-06,2.22210836676914e-06,7.13225172613359e-06,2.84224641323866e-06,5.85438144834785e-06,0.000292532084139,0.0001959724599582,0.0005804751807934,0.0006567042003488,0.0001883753100557,0.0002586727429935,1.38113986636236e-06,1.11924107620346e-06,1.06100594644134e-05,3.51501691640098e-06,4.66529312103645e-06,2.06969648851938e-06,0.0085357349025318,0.0005926757298618,0.0011553130469095,0.0037074234889608,0.000124471504249,0.0015202960930914
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.32,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,SURF-3,,,1.99973975330746e-05,2.0080752851739e-05,2.37024892455375e-05,2.1819543296187e-05,2.17009354524303e-05,1.85538858209178e-05,0.0001286637755734,9.07363616502759e-05,0.0002230237147334,0.0001492368890897,0.0001265583826387,8.23429115627463e-05,5.88801732501848e-06,2.44833985419507e-06,9.70855114390773e-06,9.23510655675536e-06,6.36176334686789e-06,6.07856806538123e-06,0.0022043336682922,0.000335153322173,0.0006019939210216,0.0008238092014294,0.0002112752274369,0.0008415203521925
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.50,Bacteria,Proteobacteria,Gammaproteobacteria,PWYM01,PWYM01,,,9.30740596604522e-05,9.50307601086952e-05,8.52711503345556e-05,8.214956949508e-05,8.2194693572037e-05,7.51837679078211e-05,0.0124025293888028,0.0112858022229661,0.0102824213139171,0.0168540898162301,0.009971344985426,0.006457920794907,7.2873300843593e-05,7.43945552838986e-05,0.0001226975939806,7.52999586625278e-05,0.0001037525474955,9.56162485867329e-05,0.0026833249685224,0.0010828116331098,0.004802691682602,0.00332071398678,0.0088189599172293,0.0029802291383539
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.61,Bacteria,Bipolaricaulota,Bipolaricaulia,,,,,4.60861866994704e-07,6.63123929905012e-07,1.64399887297554e-06,4.00729607293073e-06,9.41014015193881e-07,9.23190920701007e-07,8.96491535551044e-06,1.12485966636767e-05,8.68880494574737e-06,2.63025504328196e-05,9.99474120786481e-05,0.0004824134610711,4.90668110418207e-07,9.07634560233742e-06,3.28241491055928e-06,8.07798918676001e-07,4.9108348642489e-07,5.59377429329561e-07,0.0024814733232155,0.001542695681193,0.0002410661190024,0.0007216696823853,1.88152431141991e-05,0.0002278761155032
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.7,Bacteria,Spirochaetota,Spirochaetia,DSM-16054,Sediminispirochaetaceae,,,1.72322263311063e-06,3.04356880648711e-06,4.17322790832253e-06,1.06983775892004e-05,3.72564732546149e-06,1.10557741966877e-05,0.0011370271106281,0.0013327239966782,0.0011658917048576,0.0016956549424452,0.0010881252651609,0.0013114888222353,2.32613030124187e-06,2.01113630880309e-06,1.38462431790494e-05,3.73334094847557e-06,4.70993707434781e-06,3.59866146202017e-06,0.0107055811972075,0.0008342996241286,0.0014999180081468,0.0047041236362592,0.0019257186882094,0.0066091927424093
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.9,Bacteria,Spirochaetota,Spirochaetia,DSM-16054,Sediminispirochaetaceae,,,1.20224834868184e-06,3.24760693876557e-06,8.50904911177451e-06,2.61577170265157e-05,6.5102806357291e-06,9.47959457597863e-06,0.0019137853055175,0.0024252287350843,0.0016178090521694,0.002397520449975,0.0021435226084752,0.0021996410481786,1.99901822762973e-06,1.55644462159543e-06,1.41929771484746e-05,5.08694994733806e-06,3.41526242831855e-06,4.69877040636831e-06,0.0056533223040744,0.0006436850118012,0.0026773235375028,0.0048885414999815,0.0033036508732249,0.0047326929576911
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.110,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,,1.5028104358523e-05,9.74282081629672e-06,8.29225805160191e-06,1.00182401823268e-05,1.33662398892845e-05,9.2769429104589e-06,0.001029551567693,0.0014403245604363,0.0043551639889229,0.0007433478958922,0.0033745702171982,0.0010327356573719,0.000199810958298,1.95167662662978e-05,5.63789434285499e-05,1.11126932325969e-05,1.616111109871e-05,9.63993769877943e-06,0.000754796061366,0.0002475811826684,0.007253635461703,0.0006275823373255,0.0126907043300718,0.0004767053893374
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.40,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Tangfeifania,,3.02565834418262e-05,4.75238816431925e-05,6.14963974022939e-05,0.0001122962005024,6.92893585065209e-05,0.0001271076279843,0.0014038367837855,0.0008390722908537,0.002350570463157,0.0004151333253932,0.0029209781871303,0.0007276626397731,0.000231013815542,4.59938129752359e-06,7.13116197117984e-05,6.28118240278609e-05,3.04248541816875e-05,0.0001510691977476,0.0016839763652814,0.0004314938455439,0.0075818126795827,0.0016456822909614,0.0065500541782035,0.0105502097419564
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.10,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,SW132,,4.00749449560612e-07,1.51328281439862e-06,4.02870053487413e-06,1.22057091395688e-05,3.49519491357727e-06,1.23617515967037e-05,0.0268548177127556,0.0309671779857974,0.0169399030515083,0.0234663790829466,0.0229496626702287,0.0135577340250138,7.86886265966976e-06,4.03976075942186e-06,4.75256694092245e-05,7.79416794506304e-06,1.28574585536698e-05,4.97845912103309e-06,0.0055837036668967,0.0010830908810036,0.0149853119609581,0.0061534380218526,0.0168081843957972,0.0051083351215044
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,2.879384795093e-05,4.06545978564842e-05,5.75941583191871e-05,9.08075348636597e-05,4.47653810085089e-05,6.40379263042357e-05,0.0151457245267016,0.0133796580795193,0.0274799540647423,0.0262533148090029,0.0189412512817692,0.02017111331571,0.0003845929341029,0.0002072169923739,0.0003174927380037,8.59978362341829e-05,0.0001920582871454,9.19243575531578e-05,0.0173921112928277,0.005667726952303,0.0150494074347225,0.0255157750807269,0.0202603432929681,0.0190541065525603
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.22,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Wenzhouxiangellaceae,GCA-2722315,,6.19157899571146e-06,8.2295380018981e-06,8.65357648522291e-06,1.38417153344809e-05,8.91082659285634e-06,1.1235909010483e-05,0.0104768483302173,0.0086366099295796,0.0079513840801991,0.0103659210816214,0.009551038993198,0.0085829083709698,1.14489225764248e-05,1.02305629621722e-05,4.59538087478299e-05,8.99495012147331e-06,1.9888881200208e-05,1.00687937279321e-05,0.0025187090075711,0.0009541155871073,0.0052945798601489,0.0047683230552717,0.0078204467130311,0.0039080585510344
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.124,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,,5.12358171263243e-05,4.61636274280028e-05,3.23921975741225e-05,2.74260813798745e-05,3.58929631509666e-05,1.61896163898542e-05,3.93939068987334e-05,7.16815518459643e-05,0.000234415334958,0.0007137274420388,6.67953220771309e-05,0.000713118614305,5.22288944200714e-05,3.58856670057734e-05,4.49598380354775e-05,1.49333637939023e-05,2.53577654808489e-05,2.24123890018044e-05,0.0013462168277716,0.0006412276303355,0.0003365904044523,0.0028222869815323,0.0001043882368218,0.0023771877046754
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,2.6810138175605e-05,3.22380248999975e-05,5.38906443745719e-05,4.73338870999845e-05,3.65459116513052e-05,2.83036826175894e-05,0.0002498452948693,0.0002608040163088,0.0014139371880321,0.0023912112761131,0.000250661054907,0.0016096193745049,0.000172042777827,6.89382550374068e-05,0.0001065860222013,3.6918593823814e-05,5.33718461837233e-05,2.44261477473908e-05,0.0018060641806253,0.0008504215358656,0.0010031203900563,0.0055959275488977,0.0005583968831067,0.0047559461949821
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maliponia,,3.02165084968702e-05,3.29521583629721e-05,5.81000041262565e-05,4.56794988129948e-05,3.57777369450245e-05,2.58493457796282e-05,0.0002233987945705,0.0004218484535509,0.0022459400066539,0.0025266436240279,0.0003420804546082,0.0016252838611496,0.0001864720548518,7.27856462368562e-05,0.000107972958079,3.22682919406251e-05,5.50236724562433e-05,2.39599998896162e-05,0.0013563777251895,0.0003805962627621,0.0011350039082503,0.0035241724211502,0.0009585517909239,0.0016247252878254
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.39,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,,,0.0001147345674092,0.0001115408456455,0.0001094975513088,9.91530046669191e-05,9.30451612982521e-05,5.94444885524551e-05,0.0016409932753825,0.0019614805628943,0.0026102397101998,0.0061964167193176,0.0017768180762429,0.0039257444453906,9.051917992567e-05,9.80385230186967e-05,0.0001673569292426,7.65880704517679e-05,0.0001387087629383,6.53912214886257e-05,0.005053483854491,0.0010952474726483,0.0017838892806184,0.0069608736147183,0.0015332465159353,0.0078080107262218
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.4,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Crateriforma,,1.80938376476616e-05,2.18150769761059e-05,1.58257473925997e-05,1.93931071419354e-05,1.89547108774767e-05,3.30997720348898e-05,9.4010929679997e-05,9.57608507318872e-05,0.0004260333310516,0.0001689895887285,0.0002230231509192,0.0012094609456885,4.51778119444319e-05,3.4818890355017e-05,4.11919955677228e-05,1.17021681191983e-05,2.66747621035338e-05,9.39754081273662e-06,0.0016036628731707,0.0005067418446676,0.0009405355133822,0.0046028944744648,0.0003392710933793,0.0028808208476913
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.80,Bacteria,Spirochaetota,UBA4802,UBA4802,,,,4.22790669286446e-06,3.24760693876557e-06,2.11190624451473e-05,6.06057575800579e-05,1.54979246992135e-05,2.09631889554302e-05,0.0006859884269149,0.0005924376814705,0.0011034450647322,0.0005890052176008,0.0007781029932073,0.0012274762038212,2.6168965888971e-06,2.76312640687729e-06,7.53568493550933e-06,4.41014544790682e-06,4.44207335447969e-06,3.28168091873342e-06,0.0020729801195995,0.0003376479366913,0.000670327458845,0.0023200518621549,0.0005742844818513,0.0028104159917197
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,,5.85494945808055e-05,6.90329014208807e-05,0.0001191086216431,9.55501146196969e-05,7.4743398921114e-05,5.40179272868711e-05,0.0030565189295739,0.0025194074802576,0.0025204498651975,0.005394721858609,0.0030738796446524,0.0079518250906497,0.0004069819382524,0.00014553631619,0.0002212625036892,6.93397125868913e-05,0.0001103598525856,5.34018985866621e-05,0.0025275664204672,0.0011419749535489,0.00318385611462,0.0077262148012292,0.00155493346117,0.0047457921878659
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,3.25007803593657e-05,4.24909410469904e-05,7.70511559696779e-05,6.52380447836292e-05,4.81261453484871e-05,4.13184229143012e-05,0.0044695619918207,0.0050625813154446,0.006282420517996,0.0062765105640669,0.0049388130739162,0.0084692584559447,0.0002505496754939,9.284454489944e-05,0.0001654614502097,4.84679351205601e-05,8.01358961938798e-05,3.47559842756767e-05,0.0053701991840563,0.0012571554014901,0.0049967404671672,0.0110150406403991,0.004402636356808,0.0054316925635922
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseicyclus,,2.96354217950073e-05,3.72879686738895e-05,5.18672611462943e-05,4.49258330378106e-05,3.9560997373457e-05,3.6860086272867e-05,0.0011041844880276,0.0010641485387794,0.0048169806044649,0.0040264734998194,0.0010801107194972,0.0032644746227846,0.0002971994917696,0.0001428956067759,0.0002031861060832,6.35104609304996e-05,0.0001270566911241,6.22400619700691e-05,0.0086745481518018,0.0024952102470424,0.0031182500437653,0.0132076424875781,0.0034918033043669,0.016007343422826
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.20,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Salinivirgaceae,Salinivirga,,2.92547098179247e-06,3.36662918259468e-06,3.70351394461523e-06,6.89328452912396e-06,3.70644295780447e-06,6.39478588973381e-06,0.0016099781162968,0.0016579596965041,0.0017391704326998,0.0013347255003948,0.0022778053164611,0.0017546861421273,4.07072802717327e-06,2.06360073425013e-06,6.93467938850552e-06,3.64601133564573e-06,2.76792510530392e-06,4.86658363516718e-06,0.0022297751734191,0.0001645328590438,0.0029374189837407,0.0035098631438149,0.0065563570049355,0.005663663941634
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,2.0297959620245e-05,2.60658713985739e-05,4.6339089111893e-05,4.13964713588991e-05,3.08806231924849e-05,2.86414353934556e-05,0.004527678779635,0.0054861161892063,0.0066840787664709,0.0044559271026705,0.005591920409266,0.0066043716616298,0.0001086012084392,4.00128684742737e-05,8.95498265035679e-05,2.70066827676274e-05,4.10724370464453e-05,1.59795485645145e-05,0.004785028861503,0.0006561953174447,0.005218735297904,0.0070698215802365,0.0062706039965291,0.0020600012061389
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.43,Bacteria,Actinobacteriota,Actinomycetia,Nitriliruptorales,Nitriliruptoraceae,T1Sed10-7,,5.85094196358494e-06,9.70881446091697e-06,7.85867593125671e-06,1.06983775892004e-05,9.12207463708354e-06,1.63472343519252e-05,0.0004298159706312,0.0002697750763991,0.0012049581637358,0.0006024315521681,0.0010059929155881,0.0016301831325686,7.64351878673696e-05,2.33641574657472e-05,3.61065640161521e-05,1.6723620856914e-05,2.39291589748855e-05,1.87018520539183e-05,0.0012524287607232,0.0002454588986753,0.0012032954850434,0.0027507534167887,0.0006762112597127,0.000604836617257
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.44,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,SURF-3,,,3.43843027723005e-05,4.04675629018956e-05,5.01690645082756e-05,4.6708895969344e-05,4.83373933927143e-05,5.02801299006183e-05,0.0025152794052068,0.0042291072442596,0.0028008462232749,0.0096150434359974,0.0027115507418075,0.0083407789077006,6.65127883011347e-06,8.88397604236495e-06,2.88944974521063e-05,2.15049171593476e-05,1.45985727328126e-05,1.36674551899523e-05,0.0127434928717771,0.0019503231400777,0.0027635954157742,0.0112397193740435,0.0003182554551338,0.0033281301059298
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.45,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,Geopsychrobacteraceae,SLDV01,,2.96754967399633e-05,2.53857442909791e-05,3.58789204585651e-05,4.12310325302001e-05,3.25706075463025e-05,5.20814780385715e-05,0.0003160477467254,0.0003525139813797,0.0003662563428276,0.0006355933951648,0.0003233277572336,0.0008625793473256,4.87033531822517e-05,2.90303154140272e-05,4.08452615982975e-05,4.19837113679446e-05,5.99791512738036e-05,7.99723264798162e-05,0.002772433054998,0.0018291667872086,0.001301400373856,0.0036543535078757,0.0002979670661266,0.002322406555786
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.50,Bacteria,Proteobacteria,Gammaproteobacteria,PWYM01,PWYM01,XN24,,4.6466898676553e-05,4.34431189976232e-05,3.70893372111955e-05,3.15252879131936e-05,3.45102486796613e-05,2.01525822933513e-05,0.0005153274709453,0.0005202345563635,0.0009363845497925,0.0020696668948742,0.0004476313512595,0.0009775035123162,3.61277112411628e-05,3.88061866889918e-05,6.04241730718448e-05,3.04998672808209e-05,5.22111033976281e-05,3.13251360424554e-05,0.0024556077930031,0.0009638520303388,0.0007620332905386,0.0040153934999979,0.00102473147161,0.0091945375929673
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.52,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,,,,1.86348494045685e-06,2.99255927341749e-06,4.51648042026248e-06,6.06609038562909e-06,2.82304204558164e-06,4.7060220104027e-06,0.0011992987919052,0.0007538472199953,0.0009933758142935,0.0012791119378784,0.001048432055718,0.0007764576255204,1.38113986636236e-06,1.64388533067383e-06,2.43638402516161e-05,4.62846947998141e-06,8.2814533392561e-06,2.66636574647091e-06,0.0160002725067882,0.0021009122209564,0.0043586390795831,0.0050041568707097,0.0012275780668492,0.005906462520634
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,1.60700529273806e-05,1.994472743022e-05,3.92933796562836e-05,3.36024643179696e-05,2.37750071593883e-05,2.2201615800273e-05,0.0053156603589407,0.0052032496239543,0.0046943424338947,0.0058246396241148,0.0036601693332853,0.0070052111550829,8.37588637376858e-05,2.3049370913065e-05,6.45849807049481e-05,1.86885371455853e-05,2.54693753641272e-05,9.52806221291352e-06,0.0030337581446974,0.0007582324978496,0.0033325660059594,0.0054956728540187,0.0028945638529679,0.003615892423624
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.62,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,,,2.16404702762731e-06,3.1115815172466e-06,3.07120668577848e-06,5.80874109654179e-06,2.89985951620972e-06,4.66098830695387e-06,0.0004936909925392,0.000144075920482,0.0004932057524929,0.0003941428586753,0.0003405847037462,0.0004520291903424,4.81581663928981e-06,3.14786552682223e-06,8.48342445193842e-06,2.99103923942195e-06,4.01795579802183e-06,3.07657586131258e-06,0.002009454879946,0.0003671923638583,0.0008292338805443,0.0016117298121227,0.0002411856832894,0.0013691079760847
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.118,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales_C,Alkalispirochaetaceae,Alkalispirochaeta,,6.01124174340918e-07,7.48139818354373e-07,1.24654859599244e-06,2.88598845619323e-06,9.21809647536863e-07,2.85964016900068e-06,0.0003880084326752,0.000727107897478,0.0004417196086827,0.0008521166779761,0.0003823987539636,0.0001978163222281,1.18123804359939e-06,8.39430807152594e-07,3.62914887998456e-06,1.15711736999535e-06,1.20538673940655e-06,9.50941629860253e-07,0.0002210270019488,4.33951227009661e-05,0.0010551310870978,0.0002535409050438,0.0024010040365689,0.0004296379198871
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.37,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,,,1.07400852482244e-05,9.19871913022081e-06,1.17067172493203e-05,1.3235106295918e-05,1.23676127711196e-05,1.34200436277512e-05,0.0012886548616891,0.0015175174030742,0.000930083508038,0.0008936334487574,0.001031621602,0.0004792717758114,7.50540480010072e-06,3.6725097812926e-06,7.2814133579308e-06,7.44484949374368e-06,7.54482810961876e-06,2.45193773189457e-05,0.0003402094602258,4.55360232203187e-05,0.0007391225680016,0.0008771997308419,0.0034232926966349,0.0009834520538723
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.65,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,,0.0001649083984941,5.42911463637616e-05,3.06578690927417e-05,3.22054253200672e-05,9.98627118164935e-05,3.31222888866142e-05,0.013181649494084,0.0176013068261457,0.0066028284912148,0.0094275217234998,0.0144577269105404,0.013921246782409,0.0004897049470903,3.91559495253054e-05,0.0001180744743882,1.79025706301168e-05,2.7902470819596e-05,1.49353773630993e-05,0.0018004419220849,0.0004110901327682,0.0075140665961833,0.0039763763575862,0.0082931027756828,0.0018626432114712
