bin,gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,unrestored total,restored total,natural total,unrestored,restored,natural,bin_all_R1_A_D1_MG_per,bin_all_R1_B_D1_MG_per,bin_all_R2_A_D1_MG_per,bin_all_R2_B_D1_MG_per,bin_all_R2_C_D1_MG_per,bin_all_R1_A_D2_MG_per,bin_all_R1_B_D2_MG_per,bin_all_R1_C_D2_MG_per,bin_all_R2_B_D2_MG_per,bin_all_R1_A_H2O_MG_per,bin_all_R1_B_H2O_MG_per,bin_all_R2_B_H2O_MG_per,bin_all_R2_C_H2O_MG_per,bin_all_R2_restored_C_black_MG_per,bin_all_R2_restored_D_shore_MG_per,bin_all_R2_restored_H2O_MG_per,bin_all_R2A_A_D1_MG_per,bin_all_R2A_B_D1_MG_per,bin_all_R2A_C_D1_MG_per,bin_all_R2A_A_D2_MG_per,bin_all_R2A_B_D2_MG_per,bin_all_R2A_C_D2_MG_per,bin_all_R2A_A_H2O_MG_per,bin_all_R2A_B_H2O_MG_per,bin_all_R2A_C_H2O_MG_per,bin_all_SF2_B_D1_MG_per,bin_all_SF2_C_D1_MG_per,bin_all_SF2_A_D2_MG_per,bin_all_SF2_B_D2_MG_per,bin_all_SF2_C_D2_MG_per,bin_all_SF2_A_H2O_MG_per,bin_all_SF2_B_H2O_MG_per,bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16.contigs,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,7.09%,0.04%,0.07%,2.43%,0.01%,0.03%,0.22%,1.02%,0.21%,2.43%,0.70%,0.06%,0.09%,0.74%,1.60%,0.01%,0.01%,0.00%,0.00%,0.48%,0.00%,0.00%,0.03%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.16.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,9.15%,0.02%,0.06%,2.43%,0.01%,0.04%,0.43%,0.86%,1.23%,1.00%,0.61%,0.49%,0.69%,1.39%,2.43%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.01%,0.04%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19.contigs,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,3.38%,0.09%,0.16%,2.41%,0.03%,0.05%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.41%,0.96%,0.00%,0.00%,0.00%,0.00%,0.11%,0.05%,0.04%,0.00%,0.02%,0.02%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.02%,0.02%
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.30.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,13.37%,0.00%,0.01%,2.40%,0.00%,0.00%,2.01%,0.74%,1.10%,1.70%,1.03%,2.40%,1.65%,2.00%,0.73%,0.01%,0.00%,0.00%,0.00%,2.84%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,10.65%,0.00%,0.05%,2.23%,0.00%,0.02%,0.88%,2.23%,0.28%,1.12%,1.41%,0.71%,1.78%,1.43%,0.80%,0.00%,0.00%,0.00%,0.00%,2.03%,0.00%,0.00%,0.02%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.45.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,9.97%,0.00%,0.03%,2.17%,0.00%,0.02%,0.51%,1.08%,1.58%,1.00%,0.76%,0.63%,0.95%,1.30%,2.17%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.10.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,6.75%,0.01%,0.02%,2.12%,0.00%,0.01%,0.32%,0.26%,0.45%,0.64%,0.12%,0.22%,0.80%,1.81%,2.12%,0.00%,0.00%,0.00%,0.00%,0.41%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,5.55%,0.00%,0.00%,2.08%,0.00%,0.00%,0.01%,0.54%,1.04%,0.99%,2.08%,0.01%,0.26%,0.09%,0.52%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,4.33%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,2.08%,0.01%,0.36%,1.85%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.29.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,3.63%,0.02%,0.00%,2.05%,0.01%,0.00%,0.01%,0.00%,0.02%,0.03%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,1.49%,2.05%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_metabat.14.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,6.40%,0.08%,0.00%,2.00%,0.07%,0.00%,0.00%,0.14%,0.45%,0.56%,0.14%,0.00%,0.00%,0.26%,0.29%,0.20%,1.02%,2.00%,1.34%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.22.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,13.62%,0.00%,0.00%,1.99%,0.00%,0.00%,1.99%,1.58%,0.53%,1.46%,1.82%,1.44%,1.87%,1.91%,1.01%,0.01%,0.01%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.98.contigs,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__,9.84%,0.00%,0.00%,1.94%,0.00%,0.00%,1.86%,1.03%,0.92%,0.17%,0.15%,1.77%,1.26%,0.73%,1.94%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.7.contigs,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__,f__,4.64%,0.03%,0.06%,1.89%,0.01%,0.03%,0.00%,0.35%,0.21%,1.89%,1.87%,0.00%,0.02%,0.08%,0.19%,0.01%,0.01%,0.00%,0.00%,2.70%,0.00%,0.00%,0.01%,0.03%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.39.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Woeseiales,f__Woeseiaceae,6.03%,0.00%,0.01%,1.88%,0.00%,0.01%,0.11%,0.32%,1.65%,0.24%,0.14%,0.14%,0.95%,0.62%,1.88%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.49.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,10.13%,0.00%,0.01%,1.83%,0.00%,0.01%,0.68%,1.45%,1.68%,0.27%,0.31%,1.18%,1.83%,1.06%,1.66%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__Nitrococcaceae,3.30%,0.00%,0.00%,1.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,1.82%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.38.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,11.23%,0.01%,0.03%,1.82%,0.00%,0.02%,0.62%,1.37%,1.48%,1.49%,1.57%,0.83%,0.64%,1.28%,1.82%,0.06%,0.08%,0.00%,0.00%,0.86%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.100.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,2.05%,0.02%,0.01%,1.76%,0.01%,0.01%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,1.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,4.89%,0.00%,0.00%,1.68%,0.00%,0.00%,1.68%,0.39%,0.37%,0.37%,0.08%,0.72%,0.46%,0.54%,0.27%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.55.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,8.87%,0.01%,0.02%,1.66%,0.00%,0.01%,0.85%,0.95%,0.79%,0.86%,0.42%,0.81%,1.08%,1.66%,1.44%,0.00%,0.00%,0.00%,0.00%,0.63%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.20.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Salinivirgaceae,3.80%,0.00%,0.00%,1.60%,0.00%,0.00%,0.11%,0.15%,0.41%,0.57%,1.60%,0.11%,0.06%,0.13%,0.67%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.95.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,2.19%,0.01%,0.00%,1.58%,0.01%,0.00%,0.01%,0.02%,0.10%,0.46%,1.58%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.84.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__SURF-3,3.00%,0.00%,0.00%,1.56%,0.00%,0.00%,0.10%,0.07%,1.56%,0.91%,0.06%,0.00%,0.01%,0.02%,0.27%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.7.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,2.23%,0.00%,0.00%,1.55%,0.00%,0.00%,0.00%,0.15%,0.00%,0.50%,1.55%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.35.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,3.14%,0.00%,0.00%,1.55%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.01%,0.10%,0.00%,0.00%,1.44%,1.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.2.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,2.34%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.38%,0.00%,0.42%,1.50%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.79%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.36.contigs,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,4.23%,0.00%,0.00%,1.46%,0.00%,0.00%,0.05%,0.20%,0.37%,0.66%,0.24%,0.02%,0.01%,1.22%,1.46%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__BM714,3.73%,0.00%,0.00%,1.39%,0.00%,0.00%,0.64%,0.28%,0.00%,0.00%,0.00%,1.39%,0.75%,0.20%,0.46%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.47.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,1.95%,0.01%,0.01%,1.39%,0.00%,0.00%,0.00%,0.02%,0.43%,0.02%,0.01%,0.00%,0.04%,0.03%,1.39%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,6.71%,0.04%,0.02%,1.34%,0.02%,0.01%,1.34%,0.60%,0.13%,0.54%,0.50%,1.29%,0.99%,1.15%,0.17%,0.00%,0.00%,0.00%,0.00%,0.41%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.35.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,1.85%,0.00%,0.00%,1.32%,0.00%,0.00%,0.00%,0.01%,1.32%,0.01%,0.01%,0.00%,0.00%,0.01%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.20.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,2.29%,0.01%,0.00%,1.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.97%,1.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Acidaminobacteraceae,4.06%,0.00%,0.17%,1.30%,0.00%,0.17%,0.46%,0.44%,0.30%,0.59%,0.16%,1.30%,0.17%,0.42%,0.20%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__BM714,2.73%,0.00%,0.00%,1.29%,0.00%,0.00%,0.31%,0.13%,0.00%,0.00%,0.00%,0.85%,1.29%,0.11%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.29.contigs,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,2.17%,0.00%,0.00%,1.28%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.28%,0.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,5.79%,0.00%,0.02%,1.27%,0.00%,0.01%,1.01%,0.80%,0.06%,1.27%,0.99%,0.77%,0.22%,0.55%,0.12%,0.00%,0.00%,0.00%,0.00%,2.51%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_restored_C_black_MG_DASTool_bins_metabat.13.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,6.17%,0.02%,0.02%,1.26%,0.00%,0.01%,0.95%,0.63%,1.26%,1.12%,0.35%,0.40%,0.41%,0.56%,0.48%,0.01%,0.00%,0.00%,0.00%,1.42%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_maxbin.062.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,1.52%,0.00%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.11.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,2.49%,0.08%,0.00%,1.17%,0.05%,0.00%,0.01%,0.04%,0.01%,0.10%,0.01%,0.00%,0.00%,0.13%,0.05%,0.00%,0.00%,1.17%,0.96%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.05%,0.02%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,7.53%,0.00%,0.02%,1.17%,0.00%,0.01%,1.05%,1.09%,0.63%,0.71%,0.61%,0.65%,0.46%,1.16%,1.17%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.14.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,2.95%,0.00%,0.00%,1.15%,0.00%,0.00%,0.06%,0.06%,0.11%,0.20%,0.03%,0.04%,0.03%,0.11%,0.37%,0.00%,0.01%,1.15%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.29.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,1.57%,0.00%,0.00%,1.13%,0.00%,0.00%,0.00%,0.00%,1.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.143.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,1.75%,0.00%,0.01%,1.12%,0.00%,0.01%,0.00%,0.08%,0.22%,0.04%,0.01%,0.00%,0.19%,0.09%,1.12%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120.contigs,d__Bacteria,p__Caldatribacteriota,c__JS1,o__SB-45,f__UBA6794,2.88%,0.01%,0.00%,1.09%,0.00%,0.00%,0.43%,0.11%,0.24%,0.02%,0.00%,0.40%,0.35%,1.09%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiohalospirales,f__Thiohalospiraceae,1.10%,0.00%,0.00%,1.08%,0.00%,0.00%,1.08%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
