MAG,R1_B,R1_C,R2_B,R2_C,R2_A,R1_A
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.6,1.3851329820353434e-06,1.7676851347436419e-06,2.698106733005986e-06,2.7398487028140676e-06,9.239927768998153e-07,6.473225583681971e-07
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_metabat.10,9.559346649383484e-07,1.048917377145325e-06,1.49408703547187e-06,1.3103144133956693e-06,4.5936142438480647e-07,4.0491278323926296e-07
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_metabat.14,7.243510390851147e-07,1.3797162719731828e-06,1.9508431628946655e-06,1.3316071501322947e-06,1.921895139122342e-06,4.718182329163519e-07
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_metabat.17,7.20465815212442e-06,1.605119753937461e-05,3.058666044951672e-05,1.1682420203245764e-05,5.371528908395781e-06,1.8901448544547432e-06
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_concoct_out.10,8.991201663062376e-06,2.4375409579312513e-05,3.472579127992519e-05,3.0862895734844353e-05,5.878184881884534e-06,2.6841884051605185e-06
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_concoct_out.25,1.594764369336426e-06,2.0069227803553886e-06,6.727966441514182e-06,1.016845709252545e-05,3.385081673025185e-06,1.0170543883480891e-06
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_concoct_out.37,1.1074213269725427e-06,2.897474386236663e-06,6.216140805640409e-06,2.104218574866364e-06,1.5125106027142682e-06,3.399450289264382e-07
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_concoct_out.51,1.6633306407110086e-06,1.9555779938753235e-06,1.6395377195043453e-06,1.334379095848527e-06,5.583034791046954e-07,5.930687326598731e-07
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_concoct_out.59,6.7093005522874565e-06,1.58297093826056e-05,1.3358374849172444e-05,8.811266519426782e-06,3.0567118364212956e-06,4.779007799457786e-06
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_metabat.16,4.1946748741732405e-07,8.171636870552548e-08,1.0613203338867199e-07,1.4675380177392565e-07,1.2130433972491774e-07,5.0424047158847835e-08
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_metabat.7,1.3252151682800805e-06,1.150871395782314e-06,3.166268224595444e-06,4.061304006136824e-06,7.815437396828701e-07,5.459879341405879e-07
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_concoct_out.62,4.095817486286354e-08,3.523577563134151e-08,2.8105323365426283e-07,1.468420846732502e-07,2.6852352169559795e-07,1.0896377320719058e-08
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_concoct_out.78,2.927707544860139e-07,4.085818435276274e-07,1.1521200638442828e-06,1.1435479769253241e-06,3.3054023761958137e-07,2.9142826901248567e-07
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_metabat.16,1.6617657713256176e-06,2.9436734811915693e-06,4.1847338153253855e-06,3.7885946177668205e-06,1.6504190488607483e-06,1.0509362167499562e-06
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_metabat.20,3.036765510626632e-07,6.676969155733962e-07,1.7830218552796402e-06,1.750143369833314e-06,8.436308962609533e-07,2.3519113576084228e-07
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_metabat.22,1.32349363664176e-06,2.7571018336139816e-06,4.1277254662418145e-06,4.032127881135631e-06,1.490730696220452e-06,6.220953307290883e-07
Salt_Pond_MetaG_R2A_A_H2O_MG_DASTool_bins_metabat.49,1.0046831613172399e-07,2.3615627362795522e-08,2.0950966776730794e-07,6.031171839971588e-08,1.4807786741541418e-07,3.6017176542034233e-09
Salt_Pond_MetaG_R2A_B_D1_MG_DASTool_bins_concoct_out.4,3.7639489808307444e-06,9.156305869715823e-06,1.2027788256674714e-05,9.575676600136185e-06,2.442132209812553e-06,1.4720415253734494e-06
Salt_Pond_MetaG_R2A_B_D2_MG_DASTool_bins_concoct_out.11,1.4756835256702267e-07,2.3465495032514128e-07,7.389819013314729e-07,3.1471205738515037e-07,3.4089791500441187e-07,6.519581520809665e-08
Salt_Pond_MetaG_R2A_B_D2_MG_DASTool_bins_concoct_out.37,1.538045621199985e-07,3.696941460098085e-07,5.373353479679355e-07,2.2013070266088833e-07,2.701115442000681e-07,1.0305946275628696e-07
Salt_Pond_MetaG_R2A_B_D2_MG_DASTool_bins_concoct_out.47,1.8592558340245973e-07,4.982664386152224e-07,7.543142047625836e-07,5.89875435711261e-07,2.5285461861319295e-07,1.8426535463239718e-07
Salt_Pond_MetaG_R2A_B_D2_MG_DASTool_bins_concoct_out.54,7.923066783020518e-07,2.1168601327027094e-06,4.131737361691293e-05,3.3072926897099743e-06,4.030769552115462e-06,4.986942787857139e-07
Salt_Pond_MetaG_R2A_B_D2_MG_DASTool_bins_metabat.6,1.3104248490883248e-06,1.8259735414992256e-06,2.7877123723344387e-06,1.8843527209034506e-06,1.9251477020257054e-06,9.445335053541073e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_concoct_out.59,3.207081923576698e-07,4.1420425224904787e-07,1.2433137191782716e-06,1.5976691108282724e-06,4.425338415202995e-07,2.533973768077626e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_concoct_out.69,2.0430487070145091e-07,3.989321820940251e-07,1.233884139143658e-06,1.186045167499248e-06,9.858449241117504e-07,2.0457653570011368e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_concoct_out.80,1.9712868763089308e-07,1.3438236673968594e-07,3.698864153546427e-07,3.434378022772291e-07,1.7066362886338934e-07,1.7916685934478711e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_maxbin.029,1.338426354376282e-07,9.310344594083304e-07,7.393789053328596e-07,7.419082802196814e-07,4.0499090388613016e-07,1.0318109523376531e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_metabat.10,4.889131711810115e-07,2.881654427171345e-07,7.999110324295781e-07,5.743914391050781e-07,5.535922420818594e-07,2.3880805747473073e-07
Salt_Pond_MetaG_R2A_B_H2O_MG_DASTool_bins_metabat.42,2.846545978978741e-07,5.157904937244672e-07,7.904783737700121e-07,5.687151233236234e-07,5.350825086549325e-07,2.694226575354607e-07
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.10,5.272383683082969e-07,1.068881082621644e-06,1.659575577077894e-06,8.855370046800751e-07,4.591731682689114e-07,3.0203576919919306e-07
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.15,3.8675185083129225e-07,3.2649014399639863e-07,1.05070589909787e-06,7.105430139603561e-07,4.246593170951597e-07,1.970082029592723e-07
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.52,1.2483280275022003e-07,2.3427961949943755e-08,8.490316381097281e-08,2.0939605139325224e-08,8.993131323305804e-08,1.4437278736183214e-08
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.8,2.5136751857331564e-06,6.923822357894492e-06,5.327775123762095e-06,3.7842335798627434e-06,1.6775277912156624e-06,2.5590557349041796e-06
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_maxbin.009,2.6106986854443243e-06,6.822322395461373e-06,7.736934722460457e-06,5.69062047653459e-06,1.9885878717421106e-06,1.4229013990124195e-06
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_metabat.16,8.760086270824019e-07,1.945083838083888e-06,2.9543549824451416e-06,1.8953522208690598e-06,6.969588724744362e-07,9.456045693163382e-07
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_metabat.17,2.760976593729483e-06,6.587010616191238e-06,2.469213179817781e-05,8.266386405695222e-06,3.894531723608195e-06,3.135756273247902e-06
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_metabat.18,1.1289961736025302e-06,2.0023400850687845e-06,2.3592542208903464e-06,1.648340748589418e-06,6.086920996402728e-07,4.734670511466061e-07
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_metabat.4,2.2441420015308894e-06,4.836841982892702e-06,5.7770743766573775e-06,3.981791443746802e-06,1.4027226201562835e-06,1.6252665662739427e-06
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_metabat.5,2.2850289294105415e-05,5.598161126883063e-05,7.650371222680674e-05,6.157418210842921e-05,1.437542964164527e-05,9.11588102761707e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.10,9.322448778938006e-07,2.1827338813505254e-06,7.435446627231282e-06,2.1670815317339998e-06,1.614275877615154e-06,3.0353254683259965e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.16,7.822002098441307e-07,1.6446414181532274e-06,4.032989561144935e-06,1.852810888845476e-06,1.0030429419677288e-06,4.1166009675712495e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.21,5.394013913926554e-06,8.887064419040203e-06,1.3973230373422776e-05,6.935053069873399e-06,3.400432971606702e-06,3.7299653103841316e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.31,1.0233580031241045e-06,1.8598093801983098e-06,2.214988391612111e-06,1.8291876208892408e-06,7.612577276355765e-07,6.188585105073202e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.34,8.295512565129009e-07,1.6472687339331504e-06,4.0412004215507934e-06,4.262940128002005e-06,7.520587300328507e-07,7.722660001240312e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.36,3.764264058480508e-07,9.845373981361934e-07,1.8010777714712251e-06,1.3074541847801112e-06,4.125253610899643e-07,1.3738220888901298e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.4,4.180235172627228e-06,8.510081536585683e-06,1.4137734032278757e-05,1.5201351192669278e-05,3.083732527958587e-06,4.069150136326324e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.41,3.7806815613300523e-06,7.328635785836815e-06,9.6351858382861e-06,6.107408969474085e-06,2.3919494555563976e-06,2.8496325765743186e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.42,4.396656346798277e-06,1.068964021324602e-05,1.7123683089086968e-05,9.912493871576846e-06,3.957242556264867e-06,1.872394735198361e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.45,1.1126374787375598e-07,4.6668258487035846e-08,5.856865746449659e-08,3.67325918931436e-08,8.847263911358541e-08,1.4467686855552863e-08
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.49,6.649032120886443e-07,1.506137965994933e-06,1.8282032071955162e-06,8.698323008255789e-07,3.794877941992112e-07,4.88178002957116e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.51,8.211217754189002e-07,2.3099849624018458e-06,2.9008950403743765e-06,1.747583165752902e-06,9.162524534165619e-07,2.533517646287069e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.69,1.0285824900890539e-05,2.530188400442659e-05,2.7584548137775135e-05,1.4684746443720684e-05,6.418296232063189e-06,5.815832802509238e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_concoct_out.9,2.7499141348998916e-06,5.1928592147567176e-06,7.665400392448392e-06,5.3028405084101014e-06,1.901497388853575e-06,1.567319798553307e-06
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_maxbin.022,9.174065081398182e-07,1.9166902963575044e-06,3.203571068982766e-06,2.23997287667468e-06,9.224223645588702e-07,4.1416034232972835e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_metabat.10,5.025285234757906e-07,7.255161587968499e-07,2.09510283492299e-06,7.628037439093429e-07,3.67353838194014e-07,2.1692407847518465e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_metabat.18,1.4557696495500831e-06,3.36256936876191e-06,7.447599820026371e-06,6.0593058147930616e-06,2.2611109035643337e-06,8.500526230621546e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_metabat.27,1.4286137697991684e-06,3.1245439946695732e-06,3.929593455016563e-06,2.458391028411229e-06,1.4027226201562835e-06,7.647736876816133e-07
Salt_Pond_MetaG_R2A_C_D2_MG_DASTool_bins_metabat.38,7.079460468018283e-07,1.4105494640666396e-06,2.144623523229478e-06,1.5511198724979086e-06,5.545450555845431e-07,5.418996865764718e-07
Salt_Pond_MetaG_R2A_C_H2O_MG_DASTool_bins_concoct_out.67,4.33084592856014e-07,2.571445852108259e-07,6.721592827117348e-07,1.1160492270113015e-06,3.509379878883482e-07,8.336556651177257e-07
Salt_Pond_MetaG_R2A_C_H2O_MG_DASTool_bins_metabat.16,2.7526912643221615e-07,3.107489103092454e-07,5.597367578000471e-07,2.6200991293953906e-07,1.6230570654187158e-07,1.1571108672505334e-07
Salt_Pond_MetaG_R2A_C_H2O_MG_DASTool_bins_metabat.4,4.146762760494086e-06,6.398663700855692e-07,1.6560148555652656e-06,5.318942485311564e-07,1.383830297257243e-06,2.8935373711105786e-07
Salt_Pond_MetaG_R2A_C_H2O_MG_DASTool_bins_metabat.5,1.0545278390911315e-05,3.060537835753315e-05,2.3586094707507676e-05,2.1763392375604486e-05,4.197533876150501e-06,1.4622156984856412e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.119,0.0005162662567297493,0.000611552438771602,0.0008355516597730497,0.004573418810772876,0.0005413590082558149,0.0003312878858788087
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.29,4.3521674059777184e-05,0.00011440447239921104,0.000883271309550008,0.0007887973963175499,0.0007314096770512997,9.56780023356828e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.35,6.58046820848865e-05,0.00016182864447700357,0.0009826920347176026,0.0003470652405422845,0.000829917696320181,1.3984740693618414e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.49,0.002269917975036629,0.0032260742424831605,0.0032297709868882047,0.001622351369992233,0.0011387480926262736,0.0012930955432302088
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.52,8.101599198529875e-06,5.6722620566596025e-05,4.870816813850457e-05,4.408422793348212e-06,0.00041076293476482165,3.6098822342541574e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.66,2.2974141801028565e-06,3.4965694887568935e-05,0.00020110015911803058,1.656013085795578e-05,0.0005664110362627809,1.2522979160722817e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.84,0.00017468297614728554,0.0007719908955083119,0.0020165457874629774,0.0010365563362311244,0.0011476122348096469,0.00016222420016007394
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.93,3.026107217995617e-06,3.044510135255677e-05,0.00047933596528620004,2.468312717766389e-05,0.00018280203450948574,1.9053659645102404e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.98,0.0013374353383069837,0.001824101483187227,0.0023981856663220532,0.0009846297585482237,0.0005454940203153108,0.001672478941622809
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_maxbin.001,8.312686604966782e-06,2.5943426268446e-05,0.0003693343436798712,0.00036302044433752,0.0003642176433288879,1.0474105193941762e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.10,0.001744198479481794,0.0052339468367000475,0.003510120294679364,0.002391599593437706,0.0008756854620330604,0.0030019332900228174
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.12,0.008926744376093143,0.02073954014409091,0.013852697939058104,0.013432880951715015,0.002617709804956753,0.0071341837081331455
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.24,0.00015899323779594815,0.00011822497877872224,0.0016398616916873602,0.00046173667381884694,0.0016410134165591916,5.102763343811377e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.32,4.784020782100838e-05,5.5245405735153764e-05,0.0004808238947654928,0.0002955519855420999,0.00045652330842156495,2.2917841632797544e-05
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.50,0.0034873857686543363,0.004344834039610704,0.0027394578474466565,0.003312393992375806,0.0006770379796392354,0.0024744078982514312
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.61,4.4968328532688164e-06,0.00015400939876615425,0.0003246636021231749,6.925382502186793e-05,0.0007234244374701628,2.111439277843762e-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.7,0.0003677450283230342,0.0006345946987679121,0.0020921903029800125,0.0023960112186577403,0.002074523158073692,0.0002579823580145154
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.9,0.0005160207550291792,0.0011485799516140673,0.0025514382997981495,0.0022560480131977004,0.001132012340993216,0.00045323962821234816
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.19,3.189981489699374e-05,0.0001732732451864486,0.00035704450116431474,0.00021695333481551254,0.003079359618356258,1.3560583061620307e-05
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.67,2.983891944227187e-05,0.00011987465694836695,0.00012711469527989147,5.430607550242281e-05,0.0023636295897725593,1.9466479144836352e-05
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.9,4.729780676245735e-05,0.00018950660222363423,0.0002632742242913977,0.0001264727085914297,0.003943707922521973,3.833493591888701e-05
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.14,0.00024433198753143144,0.0008965476985199971,0.0012457164205148736,0.0006686086826834933,0.001682812817393881,0.00021342043231311353
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.16,4.620422876859075e-06,2.7615660043406177e-05,6.387921966080368e-05,5.6218987741247195e-05,0.0019280022307144185,6.450468193496087e-06
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.11,0.00019055045235717952,0.0011915454088799583,0.0008768697712896549,0.0002917007259768677,0.0016332747926093016,7.045346679429156e-05
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.29,0.00016534026740719753,0.000498638145381271,0.0006354735545362043,0.0003444691509680867,0.002000296253097777,0.00012116794885290974
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.45,5.447251517288339e-05,0.0002672661951262311,0.00032822995244868815,0.0001452520596255985,0.0008984326960447367,2.4135294931233432e-05
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_maxbin.035,1.049134203162887e-06,2.95745178170791e-06,1.0358672269063783e-05,2.6313874792288626e-05,0.00014197893580236793,7.689751434478198e-07
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_metabat.14,0.00027287604190752153,0.001297809072033137,0.0017431509322154172,0.0011407346217230058,0.0029100205946025097,4.398576771766314e-05
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.110,0.0006552234258539603,0.001165542808962962,0.0026577847796474016,0.00369649546627813,0.0001801972514335452,0.0002579954172926844
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.40,0.0003554280056948142,0.0009649085403451258,0.0031117901208120606,0.004800568175520153,0.00038029785666919953,0.00023428715961531637
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.10,0.005192719602166692,0.009654635939296732,0.007128625219824721,0.006152638731434301,0.0011984889526907006,0.006039902057858596
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.13,0.006905406383114496,0.010343537888115404,0.01367980525629811,0.011036770990652759,0.004145464689072785,0.002979670885154678
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.22,0.0023540059750151426,0.004795648986010142,0.003393514922398304,0.0032925508857624074,0.0006243093110864628,0.0019965311553407808
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.124,0.00012184836920607878,0.0002062536855917354,0.0010652689027674312,0.0006966544227334079,0.0003572826806066645,1.1602589702148176e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.143,0.0004890098265703213,0.0004919641474548364,0.002225398360958565,0.0014918989773246931,0.00047755615705867343,5.334080548703484e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.32,0.0006133375124579647,0.0005202832288252541,0.001571215039317976,0.0007252050489217594,0.00031225563060537776,6.74004785665599e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.39,0.001131767018775217,0.0015080824723561867,0.0029489982788847907,0.0026223772010430585,0.0011053567821376162,0.0003763029775489799
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.4,7.646799002687474e-05,0.0003788304205044015,0.0018694120914355225,0.0009039784980352449,0.00037938723352921335,1.9822957564605693e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.80,0.0002175013213915352,0.0005303894209816545,0.0010084462639397644,0.0009501891580712514,0.0004333583514165293,0.00013354033166050627
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.10,0.0010171999301484365,0.0029158245952769857,0.0036792055700569696,0.0017688067958873041,0.0006596730657591459,0.0005824435665068574
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.16,0.0016139818901199764,0.0035458581270388363,0.005399656399291654,0.002760797532909025,0.0011913988348183006,0.0009956974207100137
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.19,0.001136495986573848,0.0011489559263041568,0.005505584262537746,0.0054740081010097585,0.0020079862892212735,0.00022649718247379861
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.20,0.00039503460411642095,0.0010664205198194306,0.0021742183436197185,0.0034305344019358655,0.0004304245024543549,0.00034135840664150616
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.38,0.0014316320084201907,0.0032253945888498585,0.004144072688687677,0.002338656198844015,0.0009781682967320788,0.0010460092238011806
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.43,0.00023227249602669444,0.000697155160892741,0.0013334247647065788,0.00035962940093856125,0.0002692751065392033,7.3077059232729e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.44,0.0015955992535394833,0.002922865739725596,0.004722340869399217,0.0010236521823199108,0.0026415057546094736,0.0007044972127125241
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.45,0.00012875039469327019,0.0003136214134336408,0.0016712299513114129,0.0007356191855317564,0.0008272291182761607,6.983583511090305e-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.50,0.00038631572709164956,0.00037688686451903974,0.001611092667853034,0.0028688620291205807,0.0006147159317719909,0.00010817152096220653
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.52,0.000292043491086858,0.00048260481701320565,0.0031574176994194933,0.0020027438387524433,0.0032540480692701194,0.0002040194302195515
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.55,0.0013518225741657322,0.0028205343325039788,0.0029771488964603697,0.0018276846109185816,0.000681685757847514,0.0010987719341846718
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.62,0.00011403554803275054,0.00020961227807434876,0.0008231667129973209,0.00045205878286590267,0.00042724962433998383,6.661910651567614e-05
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.16,5.90360023167721e-05,0.0003438657500662346,0.0006388077035326335,0.0004091704671862796,0.008087038503430137,2.341109121371818e-05
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.17,4.9145704344581416e-05,0.00020696804506795382,0.0004259905288604867,0.00032528085270802496,0.008509079390258635,3.1602420764856686e-05
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.29,2.4569689481629653e-06,1.3354100127151551e-05,8.391635106570637e-05,8.7390808844239e-05,0.0005638977696175689,7.417593488870633e-06
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.118,0.00016627436855910947,0.00015344192777931435,0.00044132373840671357,0.0007946479513941742,4.753513745815934e-05,0.00011648151081393039
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.37,0.00023437075350914402,0.00039956630234782843,0.0005450727177468046,0.0012371083104738157,6.934542487230408e-05,0.0002931238438225286
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.65,0.002060103265936583,0.0075050177262300085,0.003874924557686985,0.0028510291544168232,0.00039756688423787945,0.003215489866431218
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.7,0.00038920537505739757,0.00010497016037226464,0.0011049604394131362,0.0020359958920757506,5.308885056514651e-05,3.5705373652040574e-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.71,0.00038172192138583174,0.00017191302732482488,0.002164424871981163,0.003040868114941567,0.00010809639715857524,2.7986357893478894e-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.88,0.0002711013882226909,8.6260785345395e-05,0.0005745248424936178,0.0010687077423125453,3.1845532488686185e-05,1.9974281694400162e-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.95,8.030059014567335e-05,8.669999643207863e-05,0.0009389479924205876,0.0022395785728565316,0.0002807406835877732,2.9756955506513126e-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.98,0.00013295277869511198,0.0002309616930141186,0.000825545305009425,0.0013319679791773341,0.00012639178401082862,0.00013429024423201915
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_maxbin.062,3.933388467971163e-05,6.263627845510141e-05,0.0007473457648943509,0.0016827737542284538,3.289856447311656e-05,2.56030349485586e-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.17,0.003116421271088475,0.005413124137838789,0.008431183485615376,0.004714787169945728,0.0020219431492116222,0.0017517915126481788
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.25,0.004167596803512235,0.005126413126327655,0.004277919814553914,0.0041905335955087246,0.000941147687495365,0.002167671949144717
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.7,0.0005092328661599398,0.0014899385282529916,0.0029716776267239295,0.0026155283781310865,0.00046031427138145287,4.4288346736750985e-05
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.100,8.612754903339179e-06,5.967560580688326e-05,0.002439979465984743,0.008137903719768858,0.0004912653882279802,2.9369572802280056e-06
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.104,4.779155646322157e-05,7.854151997763864e-05,0.0003824562571051435,0.0016914042923028044,0.00024984416785202274,1.7469203226793228e-05
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.18,4.379240580065606e-05,7.722881502554908e-05,0.0011906388319949458,0.0028447022249992507,0.00016715959149460932,2.114890475306604e-05
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.21,7.92509637973296e-07,1.7905576541191642e-06,1.3475413648102811e-05,0.0021731115695222203,1.828744908763851e-05,8.33267139350217e-07
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.45,0.0021711973340383314,0.003941857748528249,0.00607692680737697,0.0033387324844170465,0.0015518643558895995,0.0012435436601510841
Salt_Pond_MetaG_R2_C_D2_MG_DASTool_bins_concoct_out.47,0.00028854063425279807,0.00032863187499756975,0.0022827102639237083,0.002186698606884096,0.0005569782469420615,4.4824769269224394e-05
